basho,rank,rikishi,height,weight
2007.05,Y1e,Asashoryu,184,148
2007.05,O1e,Hakuho,192,152.9
2007.05,O1w,Kotooshu,203,145.5
2007.05,O2e,Kaio,184.5,172.7
2007.05,O2w,Tochiazuma,180,150.2
2007.05,O3w,Chiyotaikai,181,158.5
2007.05,S1e,Kotomitsuki,182,154
2007.05,S1w,Ama,186,124
2007.05,K1e,Toyonoshima,170,135.4
2007.05,K1w,Kotoshogiku,180,150.5
2007.05,M1e,Homasho,187,146
2007.05,M1w,Tokitenku,187,148
2007.05,M2e,Kokkai,189,153
2007.05,M2w,Tamanoshima,187.5,156.8
2007.05,M3e,Kakizoe,178,138
2007.05,M3w,Kisenosato,186,160
2007.05,M4e,Aminishiki,185,136
2007.05,M4w,Tochiozan,187,143.4
2007.05,M5e,Takekaze,171,138.5
2007.05,M5w,Kakuryu,187,132.4
2007.05,M6e,Tokitsuumi,184,132.7
2007.05,M6w,Kasugao,184,150
2007.05,M7e,Takamisakari,188,135.8
2007.05,M7w,Wakanosato,184,153.8
2007.05,M8e,Kyokutenho,192,155
2007.05,M8w,Asasekiryu,184.5,136
2007.05,M9e,Roho,195,153
2007.05,M9w,Miyabiyama,188,181.5
2007.05,M10e,Dejima,180,156.5
2007.05,M10w,Shimotori,188,146
2007.05,M11e,Otsukasa,175,145.5
2007.05,M11w,Tochinonada,187,163
2007.05,M12e,Tamakasuga,182,154.5
2007.05,M12w,Satoyama,177,118.7
2007.05,M13e,Futeno,180.5,152.2
2007.05,M13w,Tochinohana,184.5,137.6
2007.05,M14e,Ryuo,176.5,146.5
2007.05,M14w,Hochiyama,189,140
2007.05,M15e,Ushiomaru,176,166.1
2007.05,M15w,Iwakiyama,184,172.9
2007.05,M16e,Hokutoriki,182.5,148
2007.05,M16w,Kasuganishiki,188,150.5
2007.05,J1e,Yoshikaze,176.5,126.5
2007.05,J1w,Tosanoumi,186,157.3
2007.05,J2e,Kitazakura,189,169
2007.05,J2w,Hakurozan,189,137
2007.05,J3e,Goeido,182,134.2
2007.05,J3w,Tochisakae,184,154.3
2007.05,J4e,Masatsukasa,183,133.9
2007.05,J4w,Ryuho,183.5,148
2007.05,J5e,Kaiho,177,121
2007.05,J5w,Shunketsu,176,121.6
2007.05,J6e,Jumonji,185,159
2007.05,J6w,Toyohibiki,183.5,172
2007.05,J7e,Toyozakura,183,136
2007.05,J7w,Katayama,179,141.5
2007.05,J8e,Hakuba,186.5,118.4
2007.05,J8w,Koryu,186,149
2007.05,J9e,Takanowaka,190,150.1
2007.05,J9w,Daimanazuru,189.5,170
2007.05,J10e,Tamarikido,184.5,136.2
2007.05,J10w,Asofuji,179,123.2
2007.05,J11e,Shirononami,173,130.9
2007.05,J11w,Baruto,197,174
2007.05,J12e,Kobo,182,135.8
2007.05,J12w,Bushuyama,189.4,161.8
2007.05,J13e,Wakanoho,195,152
2007.05,J13w,Mokonami,187,142.5
2007.05,J14e,Chiyohakuho,180.5,127.5
2007.05,J14w,Kyokunankai,180,137
2007.05,Ms1e,Sakaizawa,188,161.5
2007.05,Ms1w,Hoshihikari,182,106.2
2007.05,Ms2e,Takamifuji,187,138
2007.05,Ms2w,Ichihara,180,166.2
2007.05,Ms3e,Kitataiki,184,138
2007.05,Ms3w,Wakakirin,185.5,125.2
2007.05,Ms4e,Wakatenro,183.5,155
2007.05,Ms4w,Kotokasuga,182,135.5
2007.05,Ms5e,Oga,180,123
2007.05,Ms5w,Yoshiazuma,196,161.3
2007.05,Ms6e,Kanbayashi,178,134.3
2007.05,Ms6w,Miyamoto,181,163.5
2007.05,Ms7e,Buyuzan,181,155.5
2007.05,Ms7w,Raiko,188,158.6
2007.05,Ms8e,Tamaasuka,184,141.9
2007.05,Ms8w,Daiyubu,189,119.6
2007.05,Ms9e,Tochinoyama,175,133
2007.05,Ms9w,Dairaido,177,151
2007.05,Ms10e,Sumanofuji,175.5,139.2
2007.05,Ms10w,Kagaya,168,99.5
2007.05,Ms11e,Hokutoiwa,177,177.3
2007.05,Ms11w,Kirinowaka,177.5,115
2007.05,Ms12e,Kimurayama,180,149.6
2007.05,Ms12w,Tokitairyu,189,116.5
2007.05,Ms13e,Daitensho,184,129
2007.05,Ms13w,Isobe,166.5,120
2007.05,Ms14e,Nakano,185.5,154
2007.05,Ms14w,Sotairyu,179,110.1
2007.05,Ms15e,Hokutokuni,178,141
2007.05,Ms15w,Nakanishi,187.5,151
2007.05,Ms16e,Yanagawa,178.5,183.5
2007.05,Ms16w,Rikiryu,190,153.6
2007.05,Ms17e,Tokusegawa,190,127.9
2007.05,Ms17w,Asahimaru,178,196
2007.05,Ms18e,Towanoyama,192,185
2007.05,Ms18w,Daishoyu,174.5,150.5
2007.05,Ms19e,Dewaotori,186,163.6
2007.05,Ms19w,Nakanokuni,184.5,149.3
2007.05,Ms20e,Tokifutatsu,180.5,135.5
2007.05,Ms20w,Tenichi,175,134
2007.05,Ms21e,Daishoyama,176,152.3
2007.05,Ms21w,Hokutojo,189.5,153.6
2007.05,Ms22e,Sadanofuji,188,157.3
2007.05,Ms22w,Wakatoba,175,130.2
2007.05,Ms23e,Tooyama,186,166.5
2007.05,Ms23w,Shironoryu,178.5,102.6
2007.05,Ms24e,Fukuoka,189,124.6
2007.05,Ms24w,Shimoda,173.5,120.5
2007.05,Ms25e,Hikarikaze,181,130.7
2007.05,Ms25w,Kirinoumi,181.5,163
2007.05,Ms26e,Matsutani,177,121.9
2007.05,Ms26w,Shotenro,188,138.5
2007.05,Ms27e,Kiozan,182,140.2
2007.05,Ms27w,Takunishiki,185,188.5
2007.05,Ms28e,Tochinoshin,191,142.2
2007.05,Ms28w,Tatsuyutaka,184,146.5
2007.05,Ms29e,Yakigaya,179.5,155.5
2007.05,Ms29w,Yamasaki,182,141.5
2007.05,Ms30e,Surugatsukasa,183,153.5
2007.05,Ms30w,Arawashi,185,116
2007.05,Ms31e,Tamawashi,189,144.6
2007.05,Ms31w,Shibuya,181,180
2007.05,Ms32e,Daisogen,180,127.8
2007.05,Ms32w,Furuichi,174.5,98.5
2007.05,Ms33e,Yotsuguruma,184,138.5
2007.05,Ms33w,Mori,177,144
2007.05,Ms34e,Kotokuni,186.5,153.5
2007.05,Ms34w,Yonemura,181,95.2
2007.05,Ms35e,Kasugakuni,182,146.9
2007.05,Ms35w,Sotenzan,183.5,148.5
2007.05,Ms36e,Ikioi,192.5,131.3
