basho,rank,rikishi,height,weight
2008.03,Y1e,Hakuho,192.6,153.2
2008.03,Y1w,Asashoryu,184,148
2008.03,O1e,Kotooshu,203,151
2008.03,O1w,Kotomitsuki,182,156
2008.03,O2e,Kaio,184,171.3
2008.03,O2w,Chiyotaikai,181,155.5
2008.03,S1e,Ama,185,126
2008.03,S1w,Kotoshogiku,179.5,158.7
2008.03,K1e,Kisenosato,187,167
2008.03,K1w,Takekaze,171,142
2008.03,M1e,Asasekiryu,185,140.5
2008.03,M1w,Kakuryu,187,134.8
2008.03,M2e,Aminishiki,185,136
2008.03,M2w,Miyabiyama,188,180.1
2008.03,M3e,Tokitenku,186,148.6
2008.03,M3w,Toyonoshima,170.5,144.2
2008.03,M4e,Wakanoho,195,156
2008.03,M4w,Kyokutenho,191.6,156.4
2008.03,M5e,Wakanosato,185,156.3
2008.03,M5w,Kokkai,189,152.2
2008.03,M6e,Roho,192,146
2008.03,M6w,Dejima,180,156.7
2008.03,M7e,Baruto,198.5,172.8
2008.03,M7w,Hokutoriki,181.5,150
2008.03,M8e,Goeido,182,140.3
2008.03,M8w,Tochinonada,187,160
2008.03,M9e,Iwakiyama,184,171
2008.03,M9w,Kasugao,184,148.5
2008.03,M10e,Futeno,180,154
2008.03,M10w,Tamakasuga,181.5,151.4
2008.03,M11e,Toyohibiki,185,166.9
2008.03,M11w,Takamisakari,188,138
2008.03,M12e,Tochiozan,189,147.1
2008.03,M12w,Yoshikaze,178,128.8
2008.03,M13e,Homasho,186,143.3
2008.03,M13w,Ichihara,182,182.5
2008.03,M14e,Kaiho,177,122
2008.03,M14w,Kakizoe,176,132.5
2008.03,M15e,Wakakirin,186.5,133
2008.03,M15w,Sakaizawa,189,162.5
2008.03,M16e,Otsukasa,175,147.1
2008.03,M16w,Ryuo,176,145.1
