basho,rank,rikishi,height,weight
2002.07,Y1e,Musashimaru,192,227
2002.07,Y1w,Takanohana,185,161
2002.07,O1e,Kaio,185,168.5
2002.07,O1w,Chiyotaikai,181.5,155
2002.07,O2e,Tochiazuma,180,145
2002.07,O2w,Musoyama,183.5,166
2002.07,S1e,Asashoryu,183.5,132
2002.07,S1w,Wakanosato,184.5,152
2002.07,K1e,Miyabiyama,187.5,176.5
2002.07,K1w,Tosanoumi,187,154.5
2002.07,M1e,Tochinonada,187,153
2002.07,M1w,Kotonowaka,190.5,180
2002.07,M2e,Takamisakari,189,134
2002.07,M2w,Kyokushuzan,183,146
2002.07,M3e,Dejima,180.5,163
2002.07,M3w,Kotoryu,183,143
2002.07,M4e,Takanowaka,190,147.5
2002.07,M4w,Kaiho,177.5,120.5
2002.07,M5e,Aminishiki,185,122.5
2002.07,M5w,Hokutoriki,182.5,141.5
2002.07,M6e,Tamakasuga,183,151
2002.07,M6w,Kotomitsuki,181.5,151.5
2002.07,M7e,Toki,190,174
2002.07,M7w,Takanonami,196.5,163
2002.07,M8e,Kyokutenho,191,147
2002.07,M8w,Shimotori,187.5,146.5
2002.07,M9e,Otsukasa,174,147
2002.07,M9w,Daizen,188,156
2002.07,M10e,Wakanoyama,177,160
2002.07,M10w,Tochisakae,185,158
2002.07,M11e,Tokitsuumi,185,132.5
2002.07,M11w,Akinoshima,175,150.5
2002.07,M12e,Jumonji,185.5,149.5
2002.07,M12w,Aogiyama,181.5,148.5
2002.07,M13e,Hayateumi,183.5,129
2002.07,M13w,Chiyotenzan,184,142
2002.07,M14e,Hamanishiki,181,126
2002.07,M14w,Buyuzan,181,160
2002.07,M15e,Oikari,176,133
2002.07,M15w,Tamanoshima,188,149
