basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2004.03,1,Jk39e,Hazukiyama,1-0 (2-5),1,yorikiri,0,Jk38w,Morikawa,0-1 (1-6)
2004.03,1,Jk37e,Yodonishiki,1-0 (5-2),1,yoritaoshi,0,Jk36w,Azumi,0-1 (3-4)
2004.03,1,Jk35e,Omiyamoto,1-0 (4-4),1,yorikiri,0,Jk34w,Sakurakuni,0-1 (3-4)
2004.03,1,Jk33e,Tamada,0-1 (4-3),0,yorikiri,1,Jk32w,Onoarashi,1-0 (3-4)
2004.03,1,Jk31e,Naniwaryu,0-1 (3-4),0,sukuinage,1,Jk30w,Kainohama,1-0 (5-2)
2004.03,1,Jk28e,Mizuno,1-0 (6-1),1,oshitaoshi,0,Jk28w,Tamawashi,0-1 (4-3)
2004.03,1,Jk25e,Hizume,0-1 (0-7),0,oshidashi,1,Jk24w,Ogata,1-0 (1-6)
2004.03,1,Jk22w,Kuwana,0-1 (3-4),0,yoritaoshi,1,Jk21w,Genkaimaru,1-0 (5-2)
2004.03,1,Jk17e,Takeuchi,1-0 (1-6),1,yorikiri,0,Jk17w,Azumahikari,0-1 (4-3)
2004.03,1,Jk15e,Kirimaru,1-0 (4-3),1,yoritaoshi,0,Jk15w,Soshinzan,0-1 (3-4)
2004.03,1,Jk13e,Takanokuni,0-1 (3-4),0,oshidashi,1,Jk13w,Hokutonami,1-0 (4-3)
2004.03,1,Jk11e,Takemura,1-0 (3-4),1,oshidashi,0,Jk11w,Takeda,0-1 (3-4)
2004.03,1,Jk9e,Shikinokawa,0-1 (3-4),0,oshidashi,1,Jk9w,Takaurata,1-0 (4-3)
2004.03,1,Jk7e,Kotokaneko,1-0 (2-5),1,oshidashi,0,Jk7w,Kirinobori,0-1 (3-4)
2004.03,1,Jk5e,Tomita,1-0 (4-3),1,yorikiri,0,Jk5w,Tenryuzan,0-1 (5-2)
2004.03,1,Jk3e,Ikemoto,1-0 (5-2),1,abisetaoshi,0,Jk3w,Kakutoriki,0-1 (3-4)
2004.03,1,Jk1e,Dewahikari,0-1 (5-2),0,yorikiri,1,Jd112w,Miyakokuni,1-0 (6-1)
2004.03,1,Jd111e,Fukutenyu,1-0 (4-3),1,uwatenage,0,Jd110w,Takaoyama,0-1 (3-4)
2004.03,1,Jd109e,Ogami,1-0 (5-2),1,tsukiotoshi,0,Jd108w,Tominoumi,0-1 (3-4)
2004.03,1,Jd106e,Zendaisho,0-1 (1-6),0,yorikiri,1,Jd106w,Kiryuzan,1-0 (5-2)
2004.03,1,Jd104w,Hidaka,1-0 (3-4),1,yorikiri,0,Jd103w,Akiasahi,0-1 (3-4)
2004.03,1,Jd102e,Daihagiyama,0-1 (2-5),0,uwatenage,1,Jd101w,Miyanoshima,1-0 (5-2)
2004.03,1,Jd100e,Nakatsunishiki,0-1 (2-5),0,uwatenage,1,Jd99w,Hori,1-0 (1-6)
2004.03,1,Jd98e,Nishi,1-0 (3-4),1,tsukiotoshi,0,Jd97w,Asakimizuka,0-1 (3-4)
2004.03,1,Jd95e,Amanowaka,0-1 (5-2),0,yorikiri,1,Jd96e,Sokokurai,1-0 (7-0)
2004.03,1,Jd92e,Daishiyama,1-0 (4-3),1,shitatenage,0,Jd93e,Tochinonami,0-1 (5-2)
2004.03,1,Jd91e,Daika,0-1 (2-5),0,oshidashi,1,Jd90w,Sueta,1-0 (5-2)
2004.03,1,Jd88e,Yoshida,1-0 (6-1),1,oshidashi,0,Jd88w,Kawase,0-1 (4-3)
2004.03,1,Jd86e,Sekinoyama,0-1 (2-5),0,hikiotoshi,1,Jd85w,Minezakura,1-0 (5-2)
2004.03,1,Jd83e,Azumadake,1-0 (3-4),1,yorikiri,0,Jd83w,Otsukuba,0-1 (2-5)
2004.03,1,Jd81e,Watanabeyama,0-1 (3-4),0,shitatenage,1,Jd81w,Azumayama,1-0 (4-3)
2004.03,1,Jd79e,Gotenyu,1-0 (6-1),1,yorikiri,0,Jd79w,Takemoto,0-1 (2-5)
2004.03,1,Jd77e,Sokaifu,1-0 (5-2),1,oshidashi,0,Jd77w,Hokutonada,0-1 (5-2)
2004.03,1,Jd75e,Yuzawa,1-0 (4-3),1,hikiotoshi,0,Jd75w,Daigoki,0-1 (3-4)
2004.03,1,Jd73e,Daishokaku,0-1 (3-4),0,shitatenage,1,Jd73w,Dairissho,1-0 (2-5)
2004.03,1,Jd71w,Kaitanaka,1-0 (3-4),1,uwatenage,0,Jd70w,Fujita,0-1 (4-3)
2004.03,1,Jd70e,Araki,1-0 (4-3),1,yoritaoshi,0,Jd71e,Sato,0-1 (2-5)
2004.03,1,Jd69e,Kimishima,0-1 (3-4),0,uwatenage,1,Jd69w,Kotonoshin,1-0 (5-2)
2004.03,1,Jd67e,Hagurokuni,0-1 (3-4),0,yorikiri,1,Jd67w,Kitatsuyoshi,1-0 (3-4)
2004.03,1,Jd65e,Matsushita,1-0 (5-2),1,katasukashi,0,Jd65w,Jiguruma,0-1 (5-2)
2004.03,1,Jd63e,Kosei,1-0 (4-3),1,yoritaoshi,0,Jd63w,Kojimaumi,0-1 (1-6)
2004.03,1,Jd61e,Iwata,0-1 (1-6),0,yoritaoshi,1,Jd61w,Miura,1-0 (2-5)
2004.03,1,Jd59e,Onizakura,1-0 (5-2),1,kimedashi,0,Jd59w,Ginkakuzan,0-1 (4-3)
2004.03,1,Jd57e,Kakushoma,0-1 (4-3),0,uwatedashinage,1,Jd57w,Kirimiyama,1-0 (3-4)
2004.03,1,Jd55e,Seifu,1-0 (2-5),1,hatakikomi,0,Jd55w,Maemashu,0-1 (4-3)
2004.03,1,Jd53e,Toma,1-0 (3-4),1,yorikiri,0,Jd53w,Yatsurugiyama,0-1 (1-6)
2004.03,1,Jd51e,Tamahikari,0-1 (2-5),0,sukuinage,1,Jd50w,Yoshinoshima,1-0 (4-3)
2004.03,1,Jd49e,Miyajima,1-0 (5-2),1,hikiotoshi,0,Jd48w,Imaizumi,0-1 (4-3)
2004.03,1,Jd47e,Shirakawa,1-0 (5-2),1,yoritaoshi,0,Jd46w,Kamada,0-1 (2-5)
2004.03,1,Jd45e,Ryugado,1-0 (5-2),1,shitatenage,0,Jd44w,Kodama,0-1 (4-3)
2004.03,1,Jd43e,Kasugaryu,0-1 (1-6),0,yorikiri,1,Jd42w,Tamayutaka,1-0 (4-3)
2004.03,1,Jd41e,Daitenyu,0-1 (2-5),0,hatakikomi,1,Jd40w,Kotofubuki,1-0 (3-4)
2004.03,1,Jd39e,Kagamio,0-1 (3-4),0,oshitaoshi,1,Jd38w,Akanoume,1-0 (3-4)
2004.03,1,Jd37e,Wakataizan,0-1 (3-4),0,shitatenage,1,Jd36w,Nishiuchi,1-0 (4-3)
2004.03,1,Jd35e,Tagonofuji,0-1 (2-5),0,uwatenage,1,Jd34w,Tamanoaki,1-0 (4-3)
2004.03,1,Jd33e,Maenohana,0-1 (3-4),0,hikkake,1,Jd32w,Hoshigamine,1-0 (3-4)
2004.03,1,Jd30e,Yamaguchi,1-0 (4-3),1,oshidashi,0,Jd30w,Taiheizan,0-1 (5-2)
2004.03,1,Jd27e,Okinoryu,1-0 (3-4),1,yorikiri,0,Jd26w,Tetsuhibiki,0-1 (2-5)
2004.03,1,Jd25e,Utonishiki,0-1 (2-5),0,yorikiri,1,Jd24w,Horie,1-0 (3-4)
2004.03,1,Jd23e,Daigonishiki,1-0 (3-4),1,yorikiri,0,Jd22w,Onoyama,0-1 (1-6)
2004.03,1,Jd21e,Takasuruga,1-0 (3-4),1,tsukiotoshi,0,Jd20w,Arashitenyu,0-1 (3-4)
2004.03,1,Jd19e,Wakanojo,0-1 (0-6-1),0,yorikiri,1,Jd18w,Hamaeiko,1-0 (4-3)
2004.03,1,Jd16e,Dewanoyu,1-0 (3-4),1,oshidashi,0,Jd16w,Kiyoseryu,0-1 (4-3)
2004.03,1,Jd14e,Kotomisen,0-1 (4-3),0,yorikiri,1,Jd14w,Tamatsurugi,1-0 (5-2)
2004.03,1,Jd12e,Kinunoyama,0-1 (3-4),0,watashikomi,1,Jd12w,Kotoyashiro,1-0 (3-4)
2004.03,1,Jd10e,Sadanofuji,1-0 (4-3),1,kirikaeshi,0,Jd10w,Minozakura,0-1 (2-5)
2004.03,1,Jd8e,Matsunotani,0-1 (2-5),0,yorikiri,1,Jd7w,Ettoryu,1-0 (5-2)
2004.03,1,Jd6e,Kitanogo,1-0 (3-4),1,oshidashi,0,Jd5w,Suzunohana,0-1 (3-4)
2004.03,1,Jd4e,Onoshima,0-1 (2-5),0,yorikiri,1,Jd3w,Yamatozakura,1-0 (3-4)
2004.03,1,Jd1w,Fukunonada,1-0 (2-5),1,oshidashi,0,Sd100w,Kotoyamamoto,0-1 (1-6)
2004.03,1,Sd99e,Tamanosho,0-1 (3-4),0,okuridashi,1,Sd98w,Nishisegawa,1-0 (4-3)
2004.03,1,Sd97e,Teruyama,1-0 (4-3),1,oshidashi,0,Sd96w,Koriki,0-1 (3-4)
2004.03,1,Sd95e,Shimada,1-0 (4-3),1,hikiotoshi,0,Sd94w,Takasufuji,0-1 (1-6)
2004.03,1,Sd93e,Toyokaze,1-0 (3-4),1,oshidashi,0,Sd92w,Hanakaze,0-1 (3-4)
2004.03,1,Sd91e,Miyamaru,1-0 (5-2),1,yorikiri,0,Sd90w,Maenofuji,0-1 (2-5)
2004.03,1,Sd88w,Fujimoto,1-0 (5-2),1,yorikiri,0,Sd87w,Wakafujita,0-1 (2-5)
2004.03,1,Sd86e,Chiyonoretsu,0-1 (5-2),0,yorikiri,1,Sd85w,Tsuteno,1-0 (2-5)
2004.03,1,Sd84e,Hoshiazuma,1-0 (3-4),1,katasukashi,0,Sd83w,Kyokushozan,0-1 (3-4)
2004.03,1,Sd82e,Kumanosato,0-1 (1-6),0,yorikiri,1,Sd81w,Katsuhata,1-0 (3-4)
2004.03,1,Sd80e,Asatofuji,1-0 (4-3),1,yorikiri,0,Sd79w,Oito,0-1 (3-4)
2004.03,1,Sd78e,Oisami,0-1 (3-4),0,tsukiotoshi,1,Sd77w,Minanosato,1-0 (4-3)
2004.03,1,Sd76e,Hotaka,0-1 (4-3),0,yoritaoshi,1,Sd75w,Daionji,1-0 (5-2)
2004.03,1,Sd73e,Takaryu,0-1 (3-4),0,yorikiri,1,Sd73w,Hokkairyu,1-0 (6-1)
2004.03,1,Sd71e,Kagemaru,0-1 (1-6),0,tsukiotoshi,1,Sd71w,Tamataiga,1-0 (4-3)
2004.03,1,Sd69e,Tamatsubaki,0-1 (2-5),0,yorikiri,1,Sd69w,Wakafubuki,1-0 (3-4)
2004.03,1,Sd67e,Kirinishiki,0-1 (5-2),0,uwatenage,1,Sd67w,Danyu,1-0 (3-4)
2004.03,1,Sd65e,Seishiro,0-1 (3-4),0,uwatenage,1,Sd65w,Kisenoshima,1-0 (3-4)
2004.03,1,Sd63e,Kyokushoten,1-0 (5-2),1,yorikiri,0,Sd63w,Shiganoumi,0-1 (2-5)
2004.03,1,Sd61e,Tamanotaka,1-0 (6-1),1,yorikiri,0,Sd61w,Oseumi,0-1 (4-3)
2004.03,1,Sd59e,Matsunaga,1-0 (2-5),1,fusen,0,Sd59w,Asamiyoshi,0-1 (0-1-6)
2004.03,1,Sd57e,Koryuyama,0-1 (3-4),0,hikiotoshi,1,Sd57w,Katsumayama,1-0 (5-2)
2004.03,1,Sd55e,Daibanjaku,1-0 (5-2),1,uwatenage,0,Sd55w,Sadanoshima,0-1 (4-3)
2004.03,1,Sd53e,Nionoumi,1-0 (4-3),1,oshitaoshi,0,Sd53w,Wakamusashi,0-1 (2-5)
2004.03,1,Sd52e,Sensho,1-0 (4-3),1,yorikiri,0,Sd52w,Kaiseizan,0-1 (4-3)
2004.03,1,Sd51e,Kaishin,0-1 (1-6),0,oshitaoshi,1,Sd51w,Sasaki,1-0 (3-4)
