basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2003.09,1,M15e,Otsukasa,0-1 (8-7),0,oshidashi,1,M15w,Ushiomaru,1-0 (6-9)
2003.09,1,M14e,Asanowaka,0-1 (6-9),0,oshidashi,1,M14w,Wakanoyama,1-0 (7-8)
2003.09,1,M13e,Wakatoba,1-0 (8-7),1,okuridashi,0,M13w,Yotsukasa,0-1 (7-8)
2003.09,1,M12w,Shimotori,0-1 (8-7),0,hikiotoshi,1,M11w,Tamarikido,1-0 (6-9)
2003.09,1,M11e,Kakizoe,1-0 (8-7),1,oshidashi,0,M10w,Kaiho,0-1 (5-10)
2003.09,1,M10e,Dejima,1-0 (6-9),1,oshitaoshi,0,M9w,Aminishiki,0-1 (10-5)
2003.09,1,M9e,Kinkaiyama,0-1 (8-7),0,hikiotoshi,1,M8w,Jumonji,1-0 (7-8)
2003.09,1,M8e,Kyokushuzan,0-1 (8-7),0,oshidashi,1,M7w,Tamanoshima,1-0 (9-6)
2003.09,1,M7e,Buyuzan,1-0 (7-8),1,oshidashi,0,M6w,Tochisakae,0-1 (5-10)
2003.09,1,M6e,Kotomitsuki,1-0 (11-4),1,oshitaoshi,0,M5w,Kasuganishiki,0-1 (5-10)
2003.09,1,M5e,Iwakiyama,0-1 (11-4),0,shitatenage,1,M4w,Takanonami,1-0 (7-8)
2003.09,1,M4e,Asasekiryu,1-0 (7-8),1,okuridashi,0,M3w,Tokitsuumi,0-1 (5-10)
2003.09,1,M3e,Kotoryu,1-0 (4-11),1,oshidashi,0,S1w,Miyabiyama,0-1 (4-11)
2003.09,1,S1e,Wakanosato,1-0 (11-4),1,uwatenage,0,M2w,Hokutoriki,0-1 (4-11)
2003.09,1,M2e,Kyokutenho,0-1 (10-5),0,yorikiri,1,O2w,Tochiazuma,1-0 (10-5)
2003.09,1,O2e,Musoyama,0-1 (1-5-9),0,sukuinage,1,M1w,Tochinonada,1-0 (8-7)
2003.09,1,M1e,Takamisakari,0-1 (9-6),0,tsukidashi,1,O1w,Chiyotaikai,1-0 (11-4)
2003.09,1,O1e,Kaio,1-0 (7-8),1,tsukidashi,0,K1e,Toki,0-1 (7-8)
2003.09,1,Y1e,Asashoryu,1-0 (13-2),1,sotogake,0,K1w,Tosanoumi,0-1 (7-8)
2003.09,2,M15e,Otsukasa,1-1 (8-7),1,hikiotoshi,0,M14w,Wakanoyama,1-1 (7-8)
2003.09,2,M13e,Wakatoba,1-1 (8-7),0,tsukiotoshi,1,M14e,Asanowaka,1-1 (6-9)
2003.09,2,M15w,Ushiomaru,1-1 (6-9),0,oshidashi,1,M13w,Yotsukasa,1-1 (7-8)
2003.09,2,M10e,Dejima,1-1 (6-9),0,yorikiri,1,M12w,Shimotori,1-1 (8-7)
2003.09,2,M8e,Kyokushuzan,0-2 (8-7),0,oshidashi,1,M11e,Kakizoe,2-0 (8-7)
2003.09,2,M7e,Buyuzan,1-1 (7-8),0,shitatenage,1,M11w,Tamarikido,2-0 (6-9)
2003.09,2,M10w,Kaiho,0-2 (5-10),0,yorikiri,1,M7w,Tamanoshima,2-0 (9-6)
2003.09,2,M6e,Kotomitsuki,2-0 (11-4),1,yorikiri,0,M9e,Kinkaiyama,0-2 (8-7)
2003.09,2,M9w,Aminishiki,1-1 (10-5),1,hikiotoshi,0,M6w,Tochisakae,0-2 (5-10)
2003.09,2,M8w,Jumonji,1-1 (7-8),0,oshidashi,1,M5w,Kasuganishiki,1-1 (5-10)
2003.09,2,M1e,Takamisakari,1-1 (9-6),1,tsukiotoshi,0,M5e,Iwakiyama,0-2 (11-4)
2003.09,2,M4w,Takanonami,1-1 (7-8),0,shitatenage,1,M1w,Tochinonada,2-0 (8-7)
2003.09,2,S1e,Wakanosato,1-1 (11-4),0,hatakikomi,1,M4e,Asasekiryu,2-0 (7-8)
2003.09,2,M3w,Tokitsuumi,0-2 (5-10),0,oshidashi,1,S1w,Miyabiyama,1-1 (4-11)
2003.09,2,O1e,Kaio,2-0 (7-8),1,yorikiri,0,M3e,Kotoryu,1-1 (4-11)
