basho,rank,rikishi,height,weight
2015.01,Y1e,Hakuho,193,150.7
2015.01,Y1w,Kakuryu,186,150
2015.01,Y2e,Harumafuji,185,135
2015.01,O1e,Kisenosato,188,177
2015.01,O1w,Kotoshogiku,180,177
2015.01,O2w,Goeido,183,158.2
2015.01,S1e,Aoiyama,192,192.6
2015.01,S1w,Ichinojo,190,183
2015.01,K1e,Takayasu,187,163
2015.01,K1w,Tochiozan,189,154
2015.01,M1e,Takarafuji,186,161.1
2015.01,M1w,Tochinoshin,192,162
2015.01,M2e,Terunofuji,192,158.5
2015.01,M2w,Ikioi,194,157
2015.01,M3e,Endo,183,145.6
2015.01,M3w,Aminishiki,186,152
2015.01,M4e,Toyonoshima,169,149.4
2015.01,M4w,Jokoryu,187,162.4
2015.01,M5e,Kaisei,195,187.8
2015.01,M5w,Chiyotairyu,182,166.8
2015.01,M6e,Okinoumi,190,154
2015.01,M6w,Toyohibiki,185,185.2
2015.01,M7e,Kyokutenho,191,156
2015.01,M7w,Chiyootori,179,178.5
2015.01,M8e,Myogiryu,187,148
2015.01,M8w,Sadanoumi,184,131.2
2015.01,M9e,Tamawashi,190,161
2015.01,M9w,Takekaze,170,144
2015.01,M10e,Sokokurai,185,131.6
2015.01,M10w,Homarefuji,180,163.7
2015.01,M11e,Shohozan,177,134.5
2015.01,M11w,Yoshikaze,175,140.3
2015.01,M12e,Kyokushuho,191,149.6
2015.01,M12w,Arawashi,184,122
2015.01,M13e,Osunaarashi,189,146
2015.01,M13w,Tokitenku,186,143
2015.01,M14e,Kotoyuki,176,162.4
2015.01,M14w,Chiyomaru,178,176.3
2015.01,M15e,Sadanofuji,189,200.5
2015.01,M15w,Kagamio,182,136
2015.01,M16e,Tokushoryu,182,170.6
2015.01,M16w,Tosayutaka,178,140.8
2015.01,J1e,Amuru,192,126
2015.01,J1w,Wakanosato,184,161
2015.01,J2e,Asasekiryu,184,145
2015.01,J2w,Gagamaru,185,202.6
2015.01,J3e,Kitataiki,185,149
2015.01,J3w,Daido,187,167.6
2015.01,J4e,Asahisho,174,144.6
2015.01,J4w,Takanoiwa,181,145.5
2015.01,J5e,Shotenro,189,157.5
2015.01,J5w,Kitaharima,182,121
