basho,rank,rikishi,height,weight
2009.05,Y1e,Hakuho,191.5,152.2
2009.05,Y1w,Asashoryu,184,148
2009.05,O1e,Kotooshu,203,154.9
2009.05,O1w,Harumafuji,185,126
2009.05,O2e,Kaio,184,171.3
2009.05,O2w,Kotomitsuki,182,156
2009.05,O3e,Chiyotaikai,181,154.1
2009.05,S1e,Baruto,198,177.9
2009.05,S1w,Goeido,182,148.5
2009.05,K1e,Kakuryu,187,136.6
2009.05,K1w,Tochiozan,189.5,147
2009.05,M1e,Homasho,187,150.4
2009.05,M1w,Aminishiki,185,143.6
2009.05,M2e,Takekaze,171,142
2009.05,M2w,Kyokutenho,191.5,158.2
2009.05,M3e,Tamanoshima,187,164.1
2009.05,M3w,Toyonoshima,170.5,143.2
2009.05,M4e,Kisenosato,188,171.2
2009.05,M4w,Aran,187,144
2009.05,M5e,Tochinonada,187.5,164.2
2009.05,M5w,Yoshikaze,178,134.8
2009.05,M6e,Kotoshogiku,180,162.8
2009.05,M6w,Chiyohakuho,181.5,135
2009.05,M7e,Asasekiryu,185,140.5
2009.05,M7w,Wakanosato,185,163.3
2009.05,M8e,Iwakiyama,184,177
2009.05,M8w,Tamawashi,190,155.4
2009.05,M9e,Tokitenku,186,142.8
2009.05,M9w,Yamamotoyama,190,251.5
2009.05,M10e,Futeno,180.5,157.2
2009.05,M10w,Shimotori,188,142
2009.05,M11e,Miyabiyama,187,183
2009.05,M11w,Toyohibiki,185,168
2009.05,M12e,Takamisakari,187.5,141.7
2009.05,M12w,Dejima,180,160.3
2009.05,M13e,Hokutoriki,182,150.8
2009.05,M13w,Tochinoshin,191.5,153.7
2009.05,M14e,Kokkai,189.5,153.9
2009.05,M14w,Kakizoe,177,137.8
2009.05,M15e,Shotenro,189,147
2009.05,M15w,Bushuyama,191,170.3
2009.05,M16e,Kimurayama,182,164
2009.05,J1e,Tosayutaka,178.5,139.3
2009.05,J1w,Mokonami,186.5,146.9
2009.05,J2e,Masatsukasa,183,134
2009.05,J2w,Wakakoyu,179,161
2009.05,J3e,Kitataiki,185,142.4
2009.05,J3w,Sakaizawa,188,158.8
2009.05,J4e,Kasugao,184,149.2
2009.05,J4w,Kotokuni,186.5,156.2
2009.05,J5e,Toyozakura,182.5,134.1
2009.05,J5w,Kotokasuga,182.5,150.2
2009.05,J6e,Koryu,185.5,152
2009.05,J6w,Tosanoumi,186,154.2
2009.05,J7e,Ushiomaru,176,168.1
2009.05,J7w,Hakuba,186.5,119.8
2009.05,J8e,Shirononami,173.5,128.1
2009.05,J8w,Kyokunankai,180,133.6
2009.05,J9e,Kasuganishiki,188,151.5
2009.05,J9w,Wakatenro,184,160.4
2009.05,J10e,Asofuji,180.2,126.1
2009.05,J10w,Daishoumi,177.5,148.9
2009.05,J11e,Hoshihikari,182.5,112.9
2009.05,J11w,Kaiho,177,122
2009.05,J12e,Kirinowaka,177,123
2009.05,J12w,Kiyoseumi,183,179.9
2009.05,J13e,Okinoumi,190,134.5
2009.05,J13w,Tamaasuka,185,147.9
2009.05,J14e,Sagatsukasa,166,125.3
2009.05,J14w,Jumonji,184,159.8
