basho,rank,rikishi,height,weight
1997.01,Y1e,Akebono,204,218.5
1997.01,Y1w,Takanohana,186,147
1997.01,O1e,Wakanohana,179.5,133.5
1997.01,O1w,Musashimaru,192,206
1997.01,O2e,Takanonami,195,166
1997.01,S1e,Kaio,185,151
1997.01,S1w,Kotonishiki,176,134.5
1997.01,K1e,Musoyama,183.6,163.5
1997.01,K1w,Akinoshima,176,153.5
1997.01,M1e,Tosanoumi,186,141
1997.01,M1w,Takatoriki,180,144
1997.01,M2e,Tamakasuga,182,144.5
1997.01,M2w,Kenko,189.5,145.5
1997.01,M3e,Asahiyutaka,191,145
1997.01,M3w,Kyokushuzan,182,118.5
1997.01,M4e,Tochinowaka,190,161.5
1997.01,M4w,Higonoumi,184,136.5
1997.01,M5e,Asanowaka,176,147.5
1997.01,M5w,Kitakachidoki,183,143.5
1997.01,M6e,Oginishiki,185.5,139.5
1997.01,M6w,Kotonowaka,191,165.5
1997.01,M7e,Aogiyama,181.5,148
1997.01,M7w,Asanosho,185,134
1997.01,M8e,Mitoizumi,195,190.5
1997.01,M8w,Terao,185,114
1997.01,M9e,Hamanoshima,179,130.5
1997.01,M9w,Minatofuji,186.5,161.5
1997.01,M10e,Daihisho,195,175.5
1997.01,M10w,Tochiazuma,179,131
1997.01,M11e,Daishi,182,163.5
1997.01,M11w,Kotoryu,183,137
1997.01,M12e,Ganyu,185,170.5
1997.01,M12w,Kotoinazuma,181,133.5
1997.01,M13e,Konishiki,185,285
1997.01,M13w,Rikio,190.5,147
1997.01,M14e,Daishoho,188.5,143
1997.01,M14w,Yamato,190.2,185.5
1997.01,M15e,Shikishima,184,181.5
1997.01,M15w,Misugisato,185.3,157.5
1997.01,M16e,Kotobeppu,177,178.5
