basho,rank,rikishi,height,weight
2001.07,Y1e,Takanohana,185,161
2001.07,Y1w,Musashimaru,192,220
2001.07,O1e,Chiyotaikai,182,163
2001.07,O1w,Musoyama,183,177.5
2001.07,O2e,Miyabiyama,187.7,176
2001.07,O2w,Dejima,181,165.5
2001.07,O3e,Kaio,185,172
2001.07,S1e,Tochiazuma,180.5,144
2001.07,S1w,Kotomitsuki,180.5,148
2001.07,K1e,Asashoryu,184.5,128
2001.07,K1w,Wakanosato,184,156
2001.07,M1e,Hayateumi,183.5,129
2001.07,M1w,Takanonami,196.5,166
2001.07,M2e,Kotonowaka,190.5,172.5
2001.07,M2w,Higonoumi,183.5,152.5
2001.07,M3e,Tochinonada,187,161
2001.07,M3w,Toki,189.5,172
2001.07,M4e,Tosanoumi,186,160
2001.07,M4w,Otsukasa,175,150.5
2001.07,M5e,Kyokushuzan,182,142
2001.07,M5w,Takanowaka,190,145.5
2001.07,M6e,Akinoshima,175,154
2001.07,M6w,Tochisakae,184,155.5
2001.07,M7e,Tamakasuga,183.5,154.5
2001.07,M7w,Tamanoshima,187.5,153
2001.07,M8e,Tochinohana,185,148.5
2001.07,M8w,Chiyotenzan,183.5,148.5
2001.07,M9e,Jumonji,185,159.5
2001.07,M9w,Kitazakura,189,167.5
2001.07,M10e,Kotoryu,183,145.5
2001.07,M10w,Kaiho,177,124
2001.07,M11e,Kyokutenho,191.3,146
2001.07,M11w,Daizen,188.5,156.5
2001.07,M12e,Wakanoyama,177,160.5
2001.07,M12w,Aminishiki,184,123
2001.07,M13e,Asanowaka,176,140
2001.07,M13w,Tokitsuumi,184,134
2001.07,M14e,Wakatsutomu,172,159.5
2001.07,M14w,Oginishiki,186,137
2001.07,M15e,Minatofuji,186,168.5
2001.07,J1e,Daishi,182,172
2001.07,J1w,Kobo,183,125.5
2001.07,J2e,Juzan,179,160.5
2001.07,J2w,Takatoriki,180,150
2001.07,J3e,Hamanishiki,181,128.5
2001.07,J3w,Terao,185,114
2001.07,J4e,Wakakosho,185,178.5
2001.07,J4w,Yotsukasa,178,149.5
2001.07,J5e,Wakatoryu,176.5,156
2001.07,J5w,Kuniazuma,192.5,171
2001.07,J6e,Sentoryu,176,140.5
2001.07,J6w,Kinkaiyama,183,160
2001.07,J7e,Masutsuyoshi,179,172
2001.07,J7w,Aogiyama,181,147
2001.07,J8e,Shimotori,187.5,140
2001.07,J8w,Hamanoshima,179,123
2001.07,J9e,Towanoyama,191,191
2001.07,J9w,Harunoyama,187.5,165.5
2001.07,J10e,Oikari,177,132.5
2001.07,J10w,Takanotsuru,188,154.5
2001.07,J11e,Kotokanyu,182,123
2001.07,J11w,Senshuyama,178,135
2001.07,J12e,Buyuzan,181,156
2001.07,J12w,Tomonohana,175,109.5
2001.07,J13e,Tamarikido,185,136
2001.07,J13w,Wakatoba,175,125
2001.07,Ms1e,Sumanofuji,175,140
2001.07,Ms1w,Nishikikaze,179,149
2001.07,Ms2e,Saigo,184,172
2001.07,Ms2w,Tamanokuni,193,157
2001.07,Ms3e,Tanaka,177,152
2001.07,Ms3w,Takamisakari,188.9,135.5
2001.07,Ms4e,Kasuganishiki,187,140.5
2001.07,Ms4w,Otoryu,183,138
2001.07,Ms5e,Torafusuyama,188,133.5
2001.07,Ms5w,Ushiomaru,176,165.5
2001.07,Ms6e,Goto,186,177
2001.07,Ms6w,Nadatsukasa,183,144
2001.07,Ms7e,Daishodai,175.5,162.5
2001.07,Ms7w,Wakaazuma,175,120.5
2001.07,Ms8e,Fukkoyama,174,125.5
2001.07,Ms8w,Hokutoriki,182,141.5
2001.07,Ms9e,Wakatenro,183.5,149
2001.07,Ms9w,Toyozakura,182,135
2001.07,Ms10e,Komidori,174,97
2001.07,Ms10w,Raido,178,142
2001.07,Ms11e,Daimanazuru,188.5,169.5
2001.07,Ms11w,Hokutoiwa,177.5,147.5
2001.07,Ms12e,Wakakinryu,175,125
2001.07,Ms12w,Tochinoyama,176,127.5
2001.07,Ms13e,Hidenokuni,178,154
2001.07,Ms13w,Munakata,180,138
2001.07,Ms14e,Hoshitango,184,164
2001.07,Ms14w,Dewanofuji,184,128.5
2001.07,Ms15e,Kotonomine,176,122.5
2001.07,Ms15w,Tenichi,176,145
2001.07,Ms16e,Futatsukuba,185,144
2001.07,Ms16w,Iwakiyama,183,166
2001.07,Ms17e,Kotohino,177,138
2001.07,Ms17w,Tochitenko,178,140.5
2001.07,Ms18e,Kasugao,183,140
2001.07,Ms18w,Tokiyutaka,181,133
2001.07,Ms19e,Ryukai,178,124
2001.07,Ms19w,Tochifudo,190,155.5
2001.07,Ms20e,Nanbara,186,127
2001.07,Ms20w,Omusashi,175,141.5
2001.07,Ms21e,Gokenzan,194,186.5
2001.07,Ms21w,Komahikari,176,118.5
2001.07,Ms22e,Gojoro,190.5,151
2001.07,Ms22w,Tomikaze,180,141
2001.07,Ms23e,Akinohana,181,147.5
2001.07,Ms23w,Kotokuni,186.5,141
2001.07,Ms24e,Wakainami,181,129
2001.07,Ms24w,Oga,180,118
2001.07,Ms25e,Dewanosato,182,127.5
