basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2012.05,1,Jk21e,Aoki,1-0 (5-2),1,oshidashi,0,Jk21w,Asayudai,0-1 (0-3-4)
2012.05,1,Jk19e,Ishiharayama,0-1 (4-3),0,tsukiotoshi,1,Jk19w,Sadanohana,1-0 (3-4)
2012.05,1,Jk17e,Yoshida,1-0 (4-3),1,kotenage,0,Jk17w,Yamenishiki,0-1 (4-3)
2012.05,1,Jk15e,Kai,1-0 (6-1),1,oshidashi,0,Jk14w,Fujita,0-1 (2-5)
2012.05,1,Jk13e,Kotomanabe,0-1 (3-4),0,uwatenage,1,Jk12w,Arakaki,1-0 (3-4)
2012.05,1,Jk11e,Nakano,0-1 (3-4),0,uwatenage,1,Jk10w,Goto,1-0 (4-3)
2012.05,1,Jk9e,Morigaki,0-1 (4-3),0,yoritaoshi,1,Jk8w,Tsugarunada,1-0 (4-3)
2012.05,1,Jk7e,Kotokudo,0-1 (3-4),0,yorikiri,1,Jk6w,Fukuzato,1-0 (6-1)
2012.05,1,Jk3e,Masuamami,1-0 (4-3),1,uwatenage,0,Jk5e,Oisato,0-1 (5-2)
2012.05,1,Jk1e,Imao,1-0 (5-2),1,shitatenage,0,Jk1w,Hakubizan,0-1 (4-3)
2012.05,1,Jd105e,Issei,1-0 (2-5),1,yorikiri,0,Jd105w,Azumayama,0-1 (0-7)
2012.05,1,Jd103e,Daihishu,0-1 (3-4),0,yorikiri,1,Jd103w,Haruyutaka,1-0 (3-4)
2012.05,1,Jd101e,Sunaga,0-1 (1-6),0,oshidashi,1,Jd100w,Echizenyama,1-0 (5-2)
2012.05,1,Jd99e,Azumahikari,1-0 (4-3),1,tsukiotoshi,0,Jd98w,Takachihonomine,0-1 (3-4)
2012.05,1,Jd97e,Tamashinzan,0-1 (3-4),0,oshidashi,1,Jd96w,Okunidake,1-0 (4-3)
2012.05,1,Jd94e,Kototaiko,0-1 (5-2),0,shitatenage,1,Jd95e,Asaryuho,1-0 (5-2)
2012.05,1,Jd92e,Kumamoto,0-1 (5-2),0,hatakikomi,1,Jd92w,Daishiryu,1-0 (2-5)
2012.05,1,Jd90e,Koseki,1-0 (3-4),1,uwatenage,0,Jd90w,Asaamami,0-1 (4-3)
2012.05,1,Jd88e,Kotoyoshikane,0-1 (4-3),0,uwatenage,1,Jd88w,Daitoken,1-0 (3-4)
2012.05,1,Jd86e,Oshio,1-0 (4-3),1,shitatehineri,0,Jd86w,Fukukasuga,0-1 (1-6)
2012.05,1,Jd84e,Hakkairyu,0-1 (5-2),0,yorikiri,1,Jd84w,Nakashima,1-0 (4-3)
2012.05,1,Jd82e,Wakadaiju,1-0 (5-2),1,oshitaoshi,0,Jd81w,Fujihisashi,0-1 (4-3)
2012.05,1,Jd80e,Onoyama,1-0 (2-5),1,hikiotoshi,0,Jd79w,Hamadayama,0-1 (3-4)
2012.05,1,Jd78e,Hoshikabuto,1-0 (4-3),1,uwatedashinage,0,Jd77w,Fujinowaka,0-1 (3-4)
2012.05,1,Jd76e,Oseumi,1-0 (2-5),1,yorikiri,0,Jd75w,Zendaisho,0-1 (5-2)
2012.05,1,Jd74e,Masunoumi,0-1 (3-4),0,uwatenage,1,Jd73w,Satonofuji,1-0 (7-0)
2012.05,1,Jd72e,Hamayutaka,1-0 (5-2),1,oshidashi,0,Jd71w,Hyugaryu,0-1 (3-4)
2012.05,1,Jd70e,Hidano,0-1 (1-6),0,yoritaoshi,1,Jd69w,Ashitakayama,1-0 (2-5)
2012.05,1,Jd68e,Hara,1-0 (3-4),1,yorikiri,0,Jd67w,Kotoyamato,0-1 (3-4)
2012.05,1,Jd66e,Setonishiki,0-1 (3-4),0,oshitaoshi,1,Jd65w,Tamayuki,1-0 (4-3)
2012.05,1,Jd64e,Wakatoohashi,0-1 (1-6),0,hikiotoshi,1,Jd63w,Hayashi,1-0 (5-2)
2012.05,1,Jd62e,Itako,0-1 (3-4),0,sukuinage,1,Jd61w,Motokiyama,1-0 (5-2)
2012.05,1,Jd60e,Morinoyama,1-0 (3-4),1,nichonage,0,Jd59w,Kotokojima,0-1 (2-5)
2012.05,1,Jd58e,Kagawa,1-0 (3-4),1,oshidashi,0,Jd57w,Osato,0-1 (4-3)
2012.05,1,Jd56e,Yato,1-0 (3-4),1,yorikiri,0,Jd55w,Azumasho,0-1 (5-2)
2012.05,1,Jd54e,Taketoba,0-1 (3-4),0,oshidashi,1,Jd53w,Sadanosato,1-0 (3-4)
2012.05,1,Jd52e,Daigonishiki,1-0 (4-3),1,yorikiri,0,Jd51w,Daikosei,0-1 (2-5)
2012.05,1,Jd50e,Okuniyama,1-0 (5-2),1,yorikiri,0,Jd49w,Mihara,0-1 (0-7)
2012.05,1,Jd48e,Hayate,0-1 (2-5),0,yorikiri,1,Jd47w,Aragyoshi,1-0 (3-4)
2012.05,1,Jd46e,Ryushonami,1-0 (6-1),1,yorikiri,0,Jd45w,Daishojo,0-1 (3-4)
2012.05,1,Jd44e,Taikomaru,1-0 (3-4),1,sukuinage,0,Jd43w,Kato,0-1 (4-3)
2012.05,1,Jd42e,Hoonami,0-1 (5-2),0,yorikiri,1,Jd41w,Hokutosho,1-0 (3-4)
2012.05,1,Jd39e,Masukoma,0-1 (3-4),0,oshidashi,1,Jd40e,Hokutohana,1-0 (5-2)
2012.05,1,Jd38e,Onojo,1-0 (4-3),1,nichonage,0,Jd37w,Sakabe,0-1 (1-6)
2012.05,1,Jd36e,Kikuchi,0-1 (2-5),0,uwatenage,1,Jd35w,Hatakeyama,1-0 (3-4)
2012.05,1,Jd34e,Mori,0-1 (4-3),0,uwatedashinage,1,Jd33w,Takakasuga,1-0 (2-5)
2012.05,1,Jd32e,Kumao,1-0 (3-4),1,tsukiotoshi,0,Jd31w,Tamatoryo,0-1 (4-3)
2012.05,1,Jd30e,Hasugeyama,1-0 (4-3),1,yorikiri,0,Jd29w,Tochifudo,0-1 (2-5)
2012.05,1,Jd27e,Tokiarashi,1-0 (5-2),1,yoritaoshi,0,Jd27w,Ebisumaru,0-1 (4-3)
2012.05,1,Jd25e,Hokanyama,0-1 (2-5),0,yoritaoshi,1,Jd24w,Mukai,1-0 (3-4)
2012.05,1,Jd23e,Tomonofuji,0-1 (4-3),0,okuridashi,1,Jd22w,Kyokuhozan,1-0 (5-2)
2012.05,1,Jd20e,Kinokawa,1-0 (3-4),1,oshidashi,0,Jd20w,Hamaazuma,0-1 (2-5)
2012.05,1,Jd18e,Koju,0-1 (3-4),0,hikiotoshi,1,Jd18w,Kawaraumi,1-0 (6-1)
2012.05,1,Jd16e,Kotohayato,0-1 (3-4),0,oshidashi,1,Jd16w,Kairiki,1-0 (2-5)
2012.05,1,Jd14e,Hazukiyama,0-1 (3-4),0,uwatenage,1,Jd14w,Chiyoshuho,1-0 (5-2)
2012.05,1,Jd12e,Daishoei,1-0 (6-1),1,tsukidashi,0,Jd12w,Kiryu,0-1 (2-5)
2012.05,1,Jd10e,Hamamiryu,0-1 (4-3),0,hikiotoshi,1,Jd10w,Koriyama,1-0 (5-2)
2012.05,1,Jd8e,Takatenshu,1-0 (5-2),1,yorikiri,0,Jd7w,Hokutoo,0-1 (3-4)
2012.05,1,Jd6e,Hokutoyo,0-1 (2-5),0,kotenage,1,Jd5w,Enshunada,1-0 (4-3)
2012.05,1,Jd3e,Daitenyu,0-1 (2-5),0,yoritaoshi,1,Jd3w,Adachi,1-0 (3-4)
2012.05,1,Jd1e,Kakutaiki,0-1 (3-4),0,hatakikomi,1,Jd1w,Suekawa,1-0 (4-3)
2012.05,1,Sd99e,Daishodo,1-0 (3-4),1,okuridashi,0,Sd99w,Masuryu,0-1 (3-4)
2012.05,1,Sd97e,Aomihama,1-0 (3-4),1,tsukiotoshi,0,Sd97w,Hatachijo,0-1 (4-3)
2012.05,1,Sd95e,Azumanami,0-1 (1-6),0,oshidashi,1,Sd95w,Barikimaru,1-0 (5-2)
2012.05,1,Sd93e,Kosenho,1-0 (3-4),1,oshidashi,0,Sd93w,Kotomyozan,0-1 (2-5)
2012.05,1,Sd91e,Gonoumi,0-1 (4-3),0,kimedashi,1,Sd91w,Tamanotaka,1-0 (4-3)
2012.05,1,Sd89w,Asanojo,1-0 (2-5),1,yorikiri,0,Sd88w,Shobimaru,0-1 (1-6)
2012.05,1,Sd86e,Kasuganami,1-0 (3-4),1,yorikiri,0,Sd85w,Tosahikari,0-1 (3-4)
2012.05,1,Sd84e,Terunosato,0-1 (3-4),0,shitatenage,1,Sd83w,Aoimaru,1-0 (4-3)
2012.05,1,Sd82e,Oruri,1-0 (6-1),1,oshitaoshi,0,Sd81w,Kotorikuzan,0-1 (3-4)
2012.05,1,Sd80e,Owada,0-1 (2-5),0,yorikiri,1,Sd79w,Shinzan,1-0 (3-4)
2012.05,1,Sd78e,Hokutogo,1-0 (4-3),1,oshitaoshi,0,Sd77w,Kainokura,0-1 (4-3)
2012.05,1,Sd76e,Takashoma,1-0 (3-4),1,yorikiri,0,Sd75w,Mitozakura,0-1 (3-4)
2012.05,1,Sd74e,Kototsubasa,0-1 (4-3),0,tsukiotoshi,1,Sd73w,Owaka,1-0 (3-4)
2012.05,1,Sd73e,Daijo,0-1 (3-4),0,oshidashi,1,Sd72w,Wakahikari,1-0 (4-3)
2012.05,1,Sd70e,Tochitaiga,1-0 (1-6),1,oshitaoshi,0,Sd69w,Sadanohama,0-1 (4-3)
2012.05,1,Sd68e,Yuki,0-1 (2-5),0,shitatenage,1,Sd67w,Meisei,1-0 (5-2)
