basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2009.09,1,Jk32e,Tokishibata,1-0 (5-2),1,shitatenage,0,Jk31w,Wakanishiki,0-1 (4-3)
2009.09,1,Jk28e,Masunoumi,1-0 (5-2),1,hikiotoshi,0,Jk29e,Shintaku,0-1 (2-5)
2009.09,1,Jk26e,Kirimaru,1-0 (5-2),1,oshidashi,0,Jk26w,Kato,0-1 (1-6)
2009.09,1,Jk24e,Masuhayato,1-0 (2-5),1,hatakikomi,0,Jk24w,Kawabata,0-1 (3-4)
2009.09,1,Jk22e,Sakurai,0-1 (3-4),0,yorikiri,1,Jk21w,Wakatoohashi,1-0 (3-4)
2009.09,1,Jk20e,Azumahana,0-1 (3-4),0,yorikiri,1,Jk19w,Higohikari,1-0 (4-3)
2009.09,1,Jk18e,Matsuoka,0-1 (0-7),0,yorikiri,1,Jk17w,Kototakahashi,1-0 (4-3)
2009.09,1,Jk15e,Daiseiko,0-1 (0-1-6),0,fusen,1,Jk15w,Shuho,1-0 (4-3)
2009.09,1,Jk13e,Daikosei,0-1 (4-3),0,oshidashi,1,Jk12w,Shimasegawa,1-0 (5-2)
2009.09,1,Jk11e,Fukukasuga,0-1 (4-3),0,oshidashi,1,Jk10w,Morikawa,1-0 (2-5)
2009.09,1,Jk9e,Kawahara,0-1 (3-4),0,tottari,1,Jk8w,Enami,1-0 (3-4)
2009.09,1,Jk7e,Hasugeyama,0-1 (3-4),0,oshidashi,1,Jk6w,Shobimaru,1-0 (6-1)
2009.09,1,Jk4e,Nanbu,0-1 (2-5),0,yorikiri,1,Jk3w,Ryujofuji,1-0 (1-6)
2009.09,1,Jk2e,Oigarashi,0-1 (4-3),0,utchari,1,Jk1w,Mitozakura,1-0 (4-2-1)
2009.09,1,Jd123e,Motokiyama,0-1 (2-5),0,kirikaeshi,1,Jd123w,Shijima,1-0 (4-3)
2009.09,1,Jd121e,Hamaminato,0-1 (5-2),0,tsukidashi,1,Jd121w,Ikedo,1-0 (6-1)
2009.09,1,Jd119e,Yamamoto,0-1 (0-2-5),0,yoritaoshi,1,Jd119w,Kiritora,1-0 (4-3)
2009.09,1,Jd117e,Hisatsukasa,1-0 (5-2),1,tsukiotoshi,0,Jd117w,Nara,0-1 (4-3)
2009.09,1,Jd114e,Ohara,0-1 (3-4),0,abisetaoshi,1,Jd115e,Wakamatsuo,1-0 (3-4)
2009.09,1,Jd112w,Raizan,1-0 (3-4),1,yorikiri,0,Jd111w,Kotookazaki,0-1 (1-6)
2009.09,1,Jd110e,Kanryu,0-1 (4-3),0,hikiotoshi,1,Jd110w,Asahyuga,1-0 (2-5)
2009.09,1,Jd108e,Sakata,0-1 (3-4),0,yorikiri,1,Jd107w,Kainomiya,1-0 (5-2)
2009.09,1,Jd105e,Anjoryu,1-0 (3-4),1,oshidashi,0,Jd105w,Shikinokawa,0-1 (0-7)
2009.09,1,Jd103w,Otsukuba,1-0 (2-5),1,yoritaoshi,0,Jd102w,Sakabe,0-1 (1-6)
2009.09,1,Jd100e,Kongofuji,0-1 (4-3),0,yorikiri,1,Jd101e,Tsurubayashi,1-0 (5-2)
2009.09,1,Jd98e,Echizenyama,0-1 (3-4),0,yorikiri,1,Jd98w,Hoonami,1-0 (4-3)
2009.09,1,Jd96e,Aoijo,1-0 (3-4),1,yorikiri,0,Jd96w,Aimoto,0-1 (0-2-5)
2009.09,1,Jd94e,Suzuki,1-0 (4-3),1,yorikiri,0,Jd93w,Oito,0-1 (3-4)
2009.09,1,Jd92e,Isanishiki,1-0 (3-4),1,yorikiri,0,Jd91w,Matsuura,0-1 (3-4)
2009.09,1,Jd90e,Tsuya,0-1 (5-2),0,oshidashi,1,Jd89w,Kotosaito,1-0 (4-3)
2009.09,1,Jd88e,Tenkaizan,1-0 (2-5),1,yoritaoshi,0,Jd87w,Ikataumi,0-1 (2-5)
2009.09,1,Jd86e,Tamashinzan,0-1 (1-6),0,oshidashi,1,Jd85w,Hisachikara,1-0 (5-2)
2009.09,1,Jd84e,Nekomata,0-1 (3-4),0,oshidashi,1,Jd83w,Kishi,1-0 (4-3)
2009.09,1,Jd81e,Tochiotoha,0-1 (4-3),0,oshidashi,1,Jd82e,Teraoryu,1-0 (4-3)
2009.09,1,Jd79e,Hisainoue,0-1 (4-3),0,yoritaoshi,1,Jd79w,Tamaseiryo,1-0 (3-4)
2009.09,1,Jd77e,Kiya,0-1 (3-4),0,hikiotoshi,1,Jd77w,Taikomaru,1-0 (3-4)
2009.09,1,Jd75w,Fukai,0-1 (4-3),0,uwatenage,1,Jd74w,Hokuto,1-0 (3-4)
2009.09,1,Jd72e,Hayatefuji,0-1 (2-5),0,yorikiri,1,Jd72w,Fukudome,1-0 (4-3)
2009.09,1,Jd70e,Daigonishiki,1-0 (5-2),1,abisetaoshi,0,Jd70w,Ichifuji,0-1 (2-5)
2009.09,1,Jd68e,Azumanami,1-0 (5-2),1,oshidashi,0,Jd68w,Takada,0-1 (3-4)
2009.09,1,Jd66e,Shinnishiki,1-0 (4-3),1,katasukashi,0,Jd66w,Fukaya,0-1 (3-4)
2009.09,1,Jd64e,Chiyofubuki,1-0 (3-4),1,hikiotoshi,0,Jd64w,Kainofuji,0-1 (4-3)
2009.09,1,Jd62e,Azumasato,1-0 (5-2),1,yorikiri,0,Jd62w,Ranbuzan,0-1 (2-5)
2009.09,1,Jd60e,Shinohara,1-0 (4-3),1,shitatenage,0,Jd60w,Hokuyozan,0-1 (1-6)
2009.09,1,Jd58e,Asakoki,0-1 (2-5),0,yorikiri,1,Jd58w,Tomonofuji,1-0 (4-3)
2009.09,1,Jd56e,Suekawa,0-1 (2-5),0,hatakikomi,1,Jd56w,Kitasatsuma,1-0 (3-4)
2009.09,1,Jd54e,Teraoumi,0-1 (2-5),0,yorikiri,1,Jd54w,Misakiyama,1-0 (6-1)
2009.09,1,Jd51e,Katagiri,1-0 (6-1),1,okuridashi,0,Jd51w,Fusanohana,0-1 (3-4)
2009.09,1,Jd49e,Hikosaka,0-1 (4-3),0,yorikiri,1,Jd48w,Arajishi,1-0 (5-2)
2009.09,1,Jd46e,Owaka,1-0 (3-4),1,oshidashi,0,Jd45w,Taguchi,0-1 (1-6)
2009.09,1,Jd44e,Gonoumi,0-1 (4-3),0,uwatenage,1,Jd43w,Hanakaze,1-0 (5-2)
2009.09,1,Jd42e,Daihayabusa,1-0 (4-3),1,isamiashi,0,Jd41w,Yoshioyama,0-1 (4-3)
2009.09,1,Jd40e,Kasugasato,0-1 (4-3),0,yorikiri,1,Jd39w,Kakushoma,1-0 (3-4)
2009.09,1,Jd38e,Zendaisho,0-1 (2-5),0,sukuinage,1,Jd37w,Marikomaru,1-0 (4-3)
2009.09,1,Jd36e,Yoshinofuji,1-0 (3-4),1,oshidashi,0,Jd35w,Hoshigane,0-1 (1-6)
2009.09,1,Jd33e,Raiho,1-0 (5-2),1,hatakikomi,0,Jd33w,Aiyama,0-1 (5-2)
2009.09,1,Jd31e,Kawataka,1-0 (4-3),1,yorikiri,0,Jd31w,Yatsurugi,0-1 (2-5)
2009.09,1,Jd28e,Oseumi,0-1 (3-4),0,oshidashi,1,Jd29w,Sato,1-0 (5-2)
2009.09,1,Jd26e,Raiko,1-0 (3-4),1,yorikiri,0,Jd25w,Tosa,0-1 (0-1-6)
2009.09,1,Jd24e,Tochiminato,0-1 (2-5),0,waridashi,1,Jd23w,Arikawa,1-0 (3-4)
2009.09,1,Jd23e,Hakunishiki,0-1 (4-3),0,okuritaoshi,1,Jd22w,Tamakaizan,1-0 (4-3)
2009.09,1,Jd22e,Tochitaiga,1-0 (3-4),1,yoritaoshi,0,Jd21w,Daiseiho,0-1 (4-3)
2009.09,1,Jd20e,Karyutsukasa,1-0 (5-2),1,uwatenage,0,Jd19w,Watagawa,0-1 (4-3)
2009.09,1,Jd18e,Hokazan,1-0 (5-2),1,tsukiotoshi,0,Jd17w,Hokutogo,0-1 (3-4)
2009.09,1,Jd16e,Kasugashima,1-0 (5-2),1,oshidashi,0,Jd15w,Teraoho,0-1 (5-2)
2009.09,1,Jd14e,Daigen,1-0 (2-5),1,yorikiri,0,Jd13w,Kosenho,0-1 (4-3)
2009.09,1,Jd11e,Tsurunoumi,1-0 (4-3),1,tsukitaoshi,0,Jd12e,Kimishima,0-1 (3-4)
2009.09,1,Jd10e,Yuzawa,0-1 (4-3),0,yoritaoshi,1,Jd9w,Daishokaku,1-0 (3-4)
2009.09,1,Jd8e,Masuryu,1-0 (3-4),1,yorikiri,0,Jd7w,Hamaazuma,0-1 (0-7)
2009.09,1,Jd5e,Komanokuni,1-0 (6-1),1,yorikiri,0,Jd5w,Honda,0-1 (5-2)
2009.09,1,Jd3e,Kinunonami,0-1 (0-7),0,yoritaoshi,1,Jd2w,Chiyoraizan,1-0 (6-1)
2009.09,1,Jd1e,Sachiazuma,1-0 (5-2),1,oshidashi,0,Sd100w,Daishokai,0-1 (4-3)
2009.09,1,Sd99e,Daigoki,0-1 (3-4),0,oshidashi,1,Sd98w,Daijo,1-0 (3-4)
2009.09,1,Sd97e,Sadanokuni,0-1 (1-6),0,yorikiri,1,Sd96w,Ota,1-0 (6-1)
2009.09,1,Sd95e,Yudai,1-0 (2-5),1,yorikiri,0,Sd94w,Kiryu,0-1 (3-4)
2009.09,1,Sd93e,Hisanotora,1-0 (5-2),1,yorikiri,0,Sd92w,Mikitensho,0-1 (2-5)
2009.09,1,Sd91e,Sadanohama,1-0 (4-3),1,yorikiri,0,Sd90w,Notoazuma,0-1 (3-4)
2009.09,1,Sd89e,Nishitani,0-1 (4-3),0,yorikiri,1,Sd88w,Takamisato,1-0 (3-4)
2009.09,1,Sd87e,Daishoryu,1-0 (5-2),1,oshidashi,0,Sd86w,Hoshiazuma,0-1 (3-4)
2009.09,1,Sd85e,Kaorufuji,0-1 (4-3),0,yorikiri,1,Sd84w,Takageppo,1-0 (5-2)
