basho,rank,rikishi,height,weight
2006.11,Y1e,Asashoryu,184,146
2006.11,O1e,Chiyotaikai,181,158
2006.11,O1w,Kotooshu,204,140.9
2006.11,O2e,Tochiazuma,180,153.5
2006.11,O2w,Hakuho,192,148.2
2006.11,O3w,Kaio,184.5,167.7
2006.11,S1e,Miyabiyama,188,181.5
2006.11,S1w,Kotomitsuki,182,156
2006.11,K1e,Kisenosato,186.5,155.5
2006.11,K1w,Kokkai,189,165
2006.11,K2e,Aminishiki,185,129.5
2006.11,K2w,Roho,194,146.5
2006.11,M1e,Ama,185,113
2006.11,M1w,Iwakiyama,184.5,175
2006.11,M2e,Kotoshogiku,179,150
2006.11,M2w,Futeno,180.5,149
2006.11,M3e,Tokitenku,187,140.3
2006.11,M3w,Dejima,181,160.5
2006.11,M4e,Takekaze,171,142
2006.11,M4w,Kakizoe,177,136
2006.11,M5e,Hokutoriki,182.5,152.8
2006.11,M5w,Tochinonada,187,161
2006.11,M6e,Kyokutenho,192,152.4
2006.11,M6w,Baruto,198,167.8
2006.11,M7e,Tamanoshima,187,157.4
2006.11,M7w,Kasugao,183,153
2006.11,M8e,Toyozakura,183,134.3
2006.11,M8w,Kakuryu,185.5,126
2006.11,M9e,Takamisakari,188,133.5
2006.11,M9w,Asasekiryu,185.5,143.5
2006.11,M10e,Kyokushuzan,182,139.2
2006.11,M10w,Toyonoshima,170,130.4
2006.11,M11e,Homasho,185.5,138.5
2006.11,M11w,Kitazakura,189,173
2006.11,M12e,Ushiomaru,176,168
2006.11,M12w,Tosanoumi,186,146
2006.11,M13e,Asofuji,179,124.5
2006.11,M13w,Tochinohana,184,140
2006.11,M14e,Tamakasuga,182,153.5
2006.11,M14w,Hakurozan,189,140
2006.11,M15e,Otsukasa,175,148.4
2006.11,M15w,Katayama,179,136.5
