basho,rank,rikishi,height,weight
2008.09,Y1e,Hakuho,192.6,153.2
2008.09,Y1w,Asashoryu,184,148
2008.09,O1e,Kotomitsuki,182,156
2008.09,O1w,Kotooshu,203,151
2008.09,O2e,Kaio,184,171.3
2008.09,O2w,Chiyotaikai,181,155.5
2008.09,S1e,Ama,185,126
2008.09,S1w,Toyonoshima,170.5,144.2
2008.09,K1e,Baruto,198.5,172.8
2008.09,K1w,Asasekiryu,185,140.5
2008.09,M1e,Kotoshogiku,179.5,158.7
2008.09,M1w,Miyabiyama,188,180.1
2008.09,M2e,Kisenosato,187,167
2008.09,M2w,Homasho,186,143.3
2008.09,M3e,Kyokutenho,191.6,156.4
2008.09,M3w,Roho,192,146
2008.09,M4e,Aminishiki,185,136
2008.09,M4w,Tochinonada,187,160
2008.09,M5e,Kakuryu,187,134.8
2008.09,M5w,Goeido,182,140.3
2008.09,M6e,Toyohibiki,185,166.9
2008.09,M6w,Tochiozan,189,147.1
2008.09,M7e,Iwakiyama,184,171
2008.09,M7w,Tokitenku,186,148.6
2008.09,M8w,Masatsukasa,183,134
2008.09,M9e,Hokutoriki,181.5,150
2008.09,M9w,Wakanosato,185,156.3
2008.09,M10e,Tochinoshin,191,148.5
2008.09,M10w,Futeno,180,154
2008.09,M11e,Yoshikaze,178,128.8
2008.09,M11w,Takamisakari,188,138
2008.09,M12e,Tamanoshima,187,156.6
2008.09,M12w,Dejima,180,156.7
2008.09,M13e,Chiyohakuho,180.4,135
2008.09,M13w,Kitataiki,184,141
2008.09,M14e,Takekaze,171,142
2008.09,M14w,Kimurayama,181,156.6
2008.09,M15e,Tamawashi,189,149
2008.09,M15w,Kasugao,184,148.5
2008.09,M16e,Kokkai,189,152.2
2008.09,M16w,Kakizoe,176,132.5
2008.09,J1e,Bushuyama,190,161
2008.09,J1w,Kitazakura,189,168.7
2008.09,J2e,Tosanoumi,186,156.5
2008.09,J2w,Tamakasuga,181.5,151.4
2008.09,J3e,Shimotori,188,150
2008.09,J3w,Kasuganishiki,187,147.3
2008.09,J4e,Wakakirin,186.5,133
2008.09,J4w,Toyozakura,182,134.7
2008.09,J5e,Koryu,185.5,152.5
2008.09,J5w,Kyokunankai,180,128.8
2008.09,J6e,Hakurozan,188,133
2008.09,J6w,Aran,185,139.2
2008.09,J7e,Hoshihikari,182,111
2008.09,J7w,Mokonami,187,144.1
2008.09,J8e,Kotokasuga,182.5,141.4
2008.09,J8w,Shirononami,172,130.7
2008.09,J9e,Sagatsukasa,166.5,125
2008.09,J9w,Ryuo,176,145.1
2008.09,J10e,Tosayutaka,178.5,132.5
2008.09,J10w,Ichihara,182,182.5
2008.09,J11e,Hakuba,186,117.7
2008.09,J11w,Ushiomaru,175.5,165
2008.09,J12e,Yamamotoyama,190,236.5
2008.09,J12w,Otsukasa,175,147.1
2008.09,J13e,Kirinowaka,177,120.6
2008.09,J13w,Kaiho,177,122
2008.09,J14e,Asofuji,178.5,122
2008.09,J14w,Wakatenro,183,159.6
2008.09,Ms1e,Wakakoyu,179,155
2008.09,Ms1w,Shotenro,188,140.2
2008.09,Ms2e,Towanoyama,190,182.5
2008.09,Ms2w,Hoshikaze,180,121
2008.09,Ms3e,Satoyama,177,119.8
2008.09,Ms3w,Sakaizawa,189,162.5
2008.09,Ms4e,Tamaasuka,184,135.7
2008.09,Ms4w,Mori,177.5,144.7
2008.09,Ms5e,Tokusegawa,190,138
2008.09,Ms5w,Katayama,178,141.5
2008.09,Ms6e,Yamasaki,183,142.2
2008.09,Ms6w,Kotokuni,186,153
2008.09,Ms7e,Daiyubu,190,123.2
2008.09,Ms7w,Fukuoka,190,134.5
2008.09,Ms8e,Kotoyutaka,183.5,141.3
2008.09,Ms8w,Hokutokuni,177.5,140
2008.09,Ms9e,Takekabuto,181,168
2008.09,Ms9w,Daimanazuru,188,166.4
2008.09,Ms10e,Sokokurai,185.5,117.2
2008.09,Ms10w,Hochiyama,188,137.1
2008.09,Ms11e,Dairaido,177,151.6
2008.09,Ms11w,Ryuho,183,145.8
2008.09,Ms12e,Rikiryu,189.4,160
2008.09,Ms12w,Surugatsukasa,183,149.1
2008.09,Ms13e,Yoshiazuma,198,163
2008.09,Ms13w,Yotsuguruma,184,151.4
2008.09,Ms14e,Shoketsu,184,161.2
2008.09,Ms14w,Shironoryu,179,103.4
2008.09,Ms15e,Kaonishiki,178.5,145.2
2008.09,Ms15w,Kazafuzan,184,166.5
2008.09,Ms16e,Minami,182,172.4
2008.09,Ms16w,Mochimaru,188.5,148.7
2008.09,Ms17e,Nakano,185.5,152
2008.09,Ms17w,Shiratsuka,191.5,190.3
2008.09,Ms18e,Tamarikido,184,135.2
2008.09,Ms18w,Nakanishi,188,150.6
2008.09,Ms19e,Kirinoumi,181.5,163
2008.09,Ms19w,Ryugi,192,134.7
2008.09,Ms20e,Sadanoumi,181,115.1
2008.09,Ms20w,Jumonji,183,154.8
2008.09,Ms21e,Asanotosa,173.5,151.6
2008.09,Ms21w,Nakanokuni,185,150.7
2008.09,Ms22e,Daitensho,184.5,128.3
2008.09,Ms22w,Kanbayashi,178,132.4
2008.09,Ms23e,Ri,194,160.5
2008.09,Ms23w,Katsunofuji,182,131.1
2008.09,Ms24e,Shimoda,173.5,124.3
2008.09,Ms24w,Shibuya,180,177.5
2008.09,Ms25e,Sadanofuji,188.5,157.9
2008.09,Ms25w,Arawashi,185,121.5
2008.09,Ms26e,Matsutani,177,127
2008.09,Ms26w,Kasugakuni,182,155.7
2008.09,Ms27e,Amuru,192,105
2008.09,Ms27w,Yanagawa,178.5,188.9
2008.09,Ms28e,Hakiai,174,127
2008.09,Ms28w,Takanoyama,185,92.9
2008.09,Ms29e,Fujimoto,178.5,128.4
2008.09,Ms29w,Kaisei,193.5,154
2008.09,Ms30e,Tenichi,175.5,135
2008.09,Ms30w,Sugita,167,104
2008.09,Ms31e,Nionoumi,173.5,136.4
2008.09,Ms31w,Nishikikaze,178.5,150.3
2008.09,Ms32e,Tochinoyama,174.5,128.7
2008.09,Ms32w,Tochifudo,190,159
2008.09,Ms33e,Sadanishiki,186,142
2008.09,Ms33w,Tamao,188,128.1
2008.09,Ms34e,Takahama,179.7,125.2
2008.09,Ms34w,Kitaharima,182,110.8
2008.09,Ms35e,Wakainami,180,120.3
2008.09,Ms35w,Mori,185,162.5
2008.09,Ms36e,Furuichi,173.2,96
2008.09,Ms36w,Aoba,172,117.3
2008.09,Ms37e,Takunishiki,184,185.5
2008.09,Ms37w,Takakoyama,178,149.8
2008.09,Ms38e,Ogata,178,131
2008.09,Ms38w,Hoshizakura,182,130
2008.09,Ms39e,Terashita,188,134
2008.09,Ms39w,Matsumidori,188.5,145
2008.09,Ms40e,Takaazuma,178.6,158
2008.09,Ms40w,Hayasegawa,178,146
2008.09,Ms41e,Yonemura,182,97.8
2008.09,Ms41w,Kurosawa,172.5,129
2008.09,Ms42e,Hokutoiwa,176.5,162.5
2008.09,Ms42w,Kyokushuho,191,119.8
2008.09,Ms43e,Ikioi,193,129.5
2008.09,Ms43w,Gagamaru,185,172.2
2008.09,Ms44e,Tochitsubasa,168,98.7
2008.09,Ms44w,Sasaki,188,118.8
2008.09,Ms45e,Kakureizan,180,129.3
2008.09,Ms45w,Wakanoshima,180,139.8
2008.09,Ms46e,Karatsuumi,182,170.7
2008.09,Ms46w,Nankairiki,175,134.5
2008.09,Ms47e,Toyonokuni,180,137.1
2008.09,Ms47w,Masunoyama,177.5,149.5
2008.09,Ms48e,Sotairyu,179,113
2008.09,Ms48w,Fukao,180.5,192.7
2008.09,Ms49e,Hidenofuji,181,111.3
2008.09,Ms49w,Gorikiyama,180,127.9
2008.09,Ms50e,Fukunaga,168,109.3
2008.09,Ms50w,Hikarikaze,180,128
2008.09,Ms51e,Oniarashi,185,110.5
2008.09,Ms51w,Kitazono,183.2,151.3
2008.09,Ms52e,Akinomine,190.5,142.4
2008.09,Ms52w,Masunofuji,172,104
2008.09,Ms53e,Omiryu,176.5,105.4
2008.09,Ms53w,Tokitsukasa,179,148.5
2008.09,Ms54e,Aozora,179.5,115.5
2008.09,Ms54w,Maeta,179,197.4
2008.09,Ms55e,Asahisakari,189,135.6
2008.09,Ms55w,Homarefuji,179,148
2008.09,Ms56e,Rendaiyama,178,138.7
2008.09,Ms56w,Kimenryu,190,129
2008.09,Ms57e,Masutoo,185,144.5
2008.09,Ms57w,Daionami,179,112.1
2008.09,Ms58e,Orora,193,254
2008.09,Ms58w,Wakayuki,172,146.2
2008.09,Ms59e,Yoshino,173,141
2008.09,Ms59w,Kyokushoten,184.5,177
2008.09,Ms60e,Mizakura,168,108.3
2008.09,Ms60w,Yamatofuji,188,133
2008.09,Sd1e,Terusegawa,175.5,126.9
2008.09,Sd1w,Shishio,178,115.5
2008.09,Sd2e,Notozakura,177,128
2008.09,Sd2w,Kihonoumi,182,128
2008.09,Sd3e,Toyohikari,177.5,121.3
2008.09,Sd3w,Dewahikari,179,119.7
2008.09,Sd4e,Tochinokuni,183.5,154.3
2008.09,Sd4w,Sensho,181.5,131
2008.09,Sd5e,Takayasu,183.5,123
2008.09,Sd5w,Mizuguchi,181,119.9
2008.09,Sd6e,Tokio,179,134.8
2008.09,Sd6w,Wakakasuga,192,152.5
2008.09,Sd7e,Tochihiryu,176.5,129.5
2008.09,Sd7w,Chiyonohana,177,112
2008.09,Sd8e,Keno,190,157
2008.09,Sd8w,Ryukiyama,174.5,143
2008.09,Sd9e,Tatsuyutaka,184,137.5
2008.09,Sd9w,Tamadaiki,179.5,112.7
2008.09,Sd10e,Tenroku,176,138.9
2008.09,Sd10w,Hishofuji,192,165.8
2008.09,Sd11e,Ginkakuzan,180,135.3
2008.09,Sd11w,Higoarashi,180.5,159.3
2008.09,Sd12e,Satsukiumi,180.5,102.1
2008.09,Sd12w,Wakarikido,187,165.4
2008.09,Sd13e,Saito,183,151.2
2008.09,Sd13w,Akai,181,136.5
2008.09,Sd14e,Tokizakura,176.5,161.8
2008.09,Sd14w,Takakiho,178,136.4
2008.09,Sd15e,Teruazuma,184,153.3
2008.09,Sd15w,Terukaze,181,128
2008.09,Sd16e,Kagamio,180.5,117.5
2008.09,Sd16w,Kenju,181.5,139.5
2008.09,Sd17e,Masuhikari,176,167
2008.09,Sd17w,Wakagiyama,183,156.4
2008.09,Sd18e,Taiga,183,129.6
2008.09,Sd18w,Wakakengo,175,119.1
2008.09,Sd19e,Kotookuyama,183,136.5
2008.09,Sd19w,Kaishoryu,195,137.3
2008.09,Sd20e,Ryuden,189.5,117
2008.09,Sd20w,Tochitenko,178,146.3
2008.09,Sd21e,Tamaryoma,176,127.8
2008.09,Sd21w,Haruzakura,173,142.8
2008.09,Sd22e,Chiyonokuni,180,114.8
2008.09,Sd22w,Kotootori,176,115.2
2008.09,Sd23e,Dewaotori,185.5,147.9
2008.09,Sd23w,Kiozan,181.5,129.4
2008.09,Sd24e,Goki,178,162.4
2008.09,Sd24w,Enatsukasa,179,137
2008.09,Sd25e,Aotsurugi,182.5,126.5
2008.09,Sd25w,Hananosato,178,114.5
2008.09,Sd26e,Ryujinsakari,183.5,171.7
2008.09,Sd26w,Kotowatanabe,174,133.4
2008.09,Sd27e,Tsubasaumi,179,157.6
2008.09,Sd27w,Daishoki,173.6,117.2
2008.09,Sd28e,Miyamaru,179,139.2
2008.09,Sd28w,Minaminoshima,184.5,125.1
2008.09,Sd29e,Tetsuhikari,187,129
2008.09,Sd29w,Toshinyama,172,158.7
2008.09,Sd30e,Ryuyo,189,141.9
2008.09,Sd30w,Daishoyama,176,152.2
2008.09,Sd31e,Chokozan,175,113.1
2008.09,Sd31w,Seiro,183,103.5
2008.09,Sd32e,Hiryu,178,102.4
2008.09,Sd32w,Asahisho,173,112.1
2008.09,Sd33e,Oazuma,195.5,149.5
2008.09,Sd33w,Dewanosato,181.5,123
2008.09,Sd34e,Daishoko,174,141
2008.09,Sd34w,Fujinokaze,181,173.9
2008.09,Sd35e,Kihaku,175,141
2008.09,Sd35w,Tenryo,175.5,119.7
2008.09,Sd36e,Koriyama,176,183.6
2008.09,Sd36w,Wakamifuji,176,187.4
2008.09,Sd37e,Koshinoryu,178.5,139
2008.09,Sd37w,Dewahayate,176,104.5
2008.09,Sd38e,Matsuhara,175,121.5
2008.09,Sd38w,Asadoryu,172,102.8
2008.09,Sd39e,Tachikaze,182,132.8
2008.09,Sd39w,Shinyu,175.5,120.8
2008.09,Sd40e,Kainowaka,176.5,214
2008.09,Sd40w,Kotomisen,181.5,140.7
2008.09,Sd41e,Kirinishiki,185.5,137.2
2008.09,Sd41w,Sakigake,179,139.1
2008.09,Sd42e,Kotoshimoda,186,170.3
2008.09,Sd42w,Hokuo,176.5,113.4
2008.09,Sd43e,Satsumanishiki,183,135.9
2008.09,Sd43w,Genkaiho,174,144
2008.09,Sd44e,Kyokuryudake,181,154.5
2008.09,Sd44w,Oka,181,166.1
2008.09,Sd45e,Bungonishiki,182,148.4
2008.09,Sd45w,Ota,169,133.4
2008.09,Sd46e,Minanosato,175,131
2008.09,Sd46w,Chiyonoshin,176,115
2008.09,Sd47e,Ogifuji,175.5,133.1
