basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2013.03,1,Jk13e,Shikinokawa,0-1 (3-4),0,yorikiri,1,Jk12w,Ogata,1-0 (3-4)
2013.03,1,Jk11e,Kimishima,0-1 (4-3),0,oshitaoshi,1,Jk10w,Umetsu,1-0 (3-4)
2013.03,1,Jk9e,Kaiho,0-1 (5-2),0,tsukiotoshi,1,Jk8w,Shimada,1-0 (4-3)
2013.03,1,Jk7e,Onosho,0-1 (6-1),0,shitatehineri,1,Jk6w,Ishiura,1-0 (7-0)
2013.03,1,Jk2e,Okino,0-1 (0-7),0,yorikiri,1,Jk1w,Miyakojima,1-0 (2-5)
2013.03,1,Jd94e,Kotouruga,1-0 (3-4),1,yoritaoshi,0,Jd93w,Azumayama,0-1 (1-6)
2013.03,1,Jd92e,Kidai,0-1 (4-3),0,yoritaoshi,1,Jd91w,Ichiki,1-0 (5-2)
2013.03,1,Jd90e,Yamada,0-1 (2-5),0,yoritaoshi,1,Jd89w,Mihamaumi,1-0 (4-3)
2013.03,1,Jd88e,Tamashinzan,0-1 (0-1-6),0,fusen,1,Jd87w,Daikoyama,1-0 (5-2)
2013.03,1,Jd86e,Higohikari,0-1 (2-5),0,yorikiri,1,Jd85w,Kotofubuki,1-0 (4-3)
2013.03,1,Jd84e,Haruminato,0-1 (3-4),0,hikiotoshi,1,Jd83w,Daishiryu,1-0 (2-5)
2013.03,1,Jd81e,Mimanishiki,0-1 (3-4),0,yorikiri,1,Jd82e,Kitasatsuma,1-0 (4-3)
2013.03,1,Jd80e,Nakano,0-1 (3-4),0,yoritaoshi,1,Jd79w,Kotoomura,1-0 (3-4)
2013.03,1,Jd78e,Yoshinofuji,0-1 (4-3),0,hikiotoshi,1,Jd77w,Kotonoshima,1-0 (4-3)
2013.03,1,Jd75e,Kaishun,0-1 (4-3),0,yorikiri,1,Jd75w,Takasaito,1-0 (5-2)
2013.03,1,Jd73e,Masutenryu,1-0 (6-1),1,yorikiri,0,Jd73w,Yamamoto,0-1 (4-3)
2013.03,1,Jd71e,Honda,1-0 (2-5),1,yorikiri,0,Jd71w,Hokutosho,0-1 (2-5)
2013.03,1,Jd69w,Kurenishiki,1-0 (5-2),1,tsukiotoshi,0,Jd68w,Kototaiko,0-1 (4-3)
2013.03,1,Jd67e,Daishi,1-0 (2-5),1,oshitaoshi,0,Jd67w,Yoshimura,0-1 (3-4)
2013.03,1,Jd65e,Kototora,1-0 (4-3),1,tsukiotoshi,0,Jd65w,Setonishiki,0-1 (4-3)
2013.03,1,Jd63e,Kirimaru,0-1 (4-3),0,oshidashi,1,Jd63w,Wakahizen,1-0 (4-3)
2013.03,1,Jd61e,Ranbo,1-0 (5-2),1,oshidashi,0,Jd61w,Masunoumi,0-1 (3-4)
2013.03,1,Jd59e,Hayate,1-0 (6-1),1,yoritaoshi,0,Jd58w,Asaryuho,0-1 (4-3)
2013.03,1,Jd57e,Wakatoohashi,1-0 (3-4),1,yorikiri,0,Jd56w,Moriurara,0-1 (1-6)
2013.03,1,Jd55w,Ariake,1-0 (5-2),1,oshidashi,0,Jd54w,Hamaazuma,0-1 (5-2)
2013.03,1,Jd53e,Daiisshin,1-0 (1-3-3),1,oshitaoshi,0,Jd52w,Teraofuji,0-1 (4-3)
2013.03,1,Jd51e,Shobimaru,1-0 (3-4),1,okuritaoshi,0,Jd50w,Hibikiryu,0-1 (3-4)
2013.03,1,Jd49e,Asanoshima,0-1 (4-3),0,oshidashi,1,Jd48w,Kotomyozan,1-0 (4-3)
2013.03,1,Jd47e,Tokutaiho,1-0 (6-1),1,yoritaoshi,0,Jd46w,Tokkoriki,0-1 (4-3)
2013.03,1,Jd44e,Sakura,1-0 (5-2),1,oshitaoshi,0,Jd44w,Issei,0-1 (1-6)
2013.03,1,Jd42e,Kato,0-1 (3-4),0,makiotoshi,1,Jd42w,Daishoko,1-0 (5-2)
