basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2013.07,1,J1e,Takanoiwa,1-0 (7-8),1,shitatenage,0,M16w,Shotenro,0-1 (9-6)
2013.07,1,M16e,Tokushoryu,1-0 (9-6),1,oshidashi,0,M15w,Sokokurai,0-1 (6-9)
2013.07,1,M15e,Wakanosato,1-0 (7-8),1,yorikiri,0,M14w,Tamaasuka,0-1 (6-9)
2013.07,1,M14e,Masunoyama,0-1 (7-8),0,uwatenage,1,M13w,Jokoryu,1-0 (6-9)
2013.07,1,M13e,Tamawashi,1-0 (5-10),1,oshidashi,0,M12w,Kotoyuki,0-1 (8-7)
2013.07,1,M12e,Kaisei,1-0 (11-4),1,yorikiri,0,M11w,Tochinoshin,0-1 (3-3-9)
2013.07,1,M11e,Daido,0-1 (1-14),0,yorikiri,1,M10w,Chiyonokuni,1-0 (2-4-9)
2013.07,1,M10e,Aran,0-1 (8-7),0,oshidashi,1,M9w,Sadanofuji,1-0 (5-10)
2013.07,1,M9e,Aoiyama,1-0 (10-5),1,hikiotoshi,0,M8w,Kitataiki,0-1 (8-7)
2013.07,1,M8e,Toyohibiki,0-1 (9-6),0,oshitaoshi,1,M7w,Yoshikaze,1-0 (7-8)
2013.07,1,M7e,Takarafuji,0-1 (9-6),0,yorikiri,1,M6w,Okinoumi,1-0 (9-6)
2013.07,1,M5e,Ikioi,1-0 (9-6),1,oshitaoshi,0,M5w,Toyonoshima,0-1 (6-9)
2013.07,1,M4e,Kyokutenho,1-0 (6-9),1,oshitaoshi,0,M4w,Fujiazuma,0-1 (5-10)
2013.07,1,M3w,Aminishiki,1-0 (6-9),1,shitatenage,0,S1w,Goeido,0-1 (8-7)
2013.07,1,S1e,Myogiryu,0-1 (8-7),0,hansoku,1,M3e,Chiyotairyu,1-0 (7-8)
2013.07,1,M2w,Gagamaru,0-1 (3-12),0,yoritaoshi,1,O2w,Kotooshu,1-0 (9-6)
2013.07,1,O2e,Kakuryu,0-1 (10-5),0,yorikiri,1,M2e,Tochiozan,1-0 (10-5)
2013.07,1,M1w,Takayasu,0-1 (9-6),0,yorikiri,1,O1w,Kotoshogiku,1-0 (9-6)
2013.07,1,O1e,Kisenosato,1-0 (11-4),1,oshidashi,0,M1e,Takekaze,0-1 (1-9-5)
2013.07,1,K1e,Shohozan,0-1 (7-8),0,uwatedashinage,1,Y1w,Harumafuji,1-0 (10-5)
2013.07,1,Y1e,Hakuho,1-0 (13-2),1,yorikiri,0,K1w,Tokitenku,0-1 (4-11)
2013.07,2,M16e,Tokushoryu,1-1 (9-6),0,hatakikomi,1,J1w,Chiyootori,1-1 (6-6-3)
2013.07,2,M15e,Wakanosato,1-1 (7-8),0,oshidashi,1,M16w,Shotenro,1-1 (9-6)
2013.07,2,M15w,Sokokurai,0-2 (6-9),0,yorikiri,1,M14w,Tamaasuka,1-1 (6-9)
