basho,rank,rikishi,height,weight
2008.11,Y1e,Hakuho,192.6,153.2
2008.11,Y1w,Asashoryu,184,148
2008.11,O1e,Kotomitsuki,182,156
2008.11,O1w,Kaio,184,171.3
2008.11,O2e,Chiyotaikai,181,155.5
2008.11,O2w,Kotooshu,203,151
2008.11,S1e,Ama,185,126
2008.11,S1w,Baruto,198.5,172.8
2008.11,K1e,Goeido,182,140.3
2008.11,K1w,Aminishiki,185,136
2008.11,M1e,Toyonoshima,170.5,144.2
2008.11,M1w,Futeno,180,154
2008.11,M2e,Toyohibiki,185,166.9
2008.11,M2w,Wakanosato,185,156.3
2008.11,M3e,Kotoshogiku,179.5,158.7
2008.11,M3w,Hokutoriki,181.5,150
2008.11,M4e,Kisenosato,187,167
2008.11,M4w,Tochinoshin,191,148.5
2008.11,M5e,Asasekiryu,185,140.5
2008.11,M5w,Dejima,180,156.7
2008.11,M6e,Kakuryu,187,134.8
2008.11,M6w,Kyokutenho,191.6,156.4
2008.11,M7e,Miyabiyama,188,180.1
2008.11,M7w,Tochinonada,187,160
2008.11,M8e,Takekaze,171,142
2008.11,M8w,Kakizoe,176,132.5
2008.11,M9e,Tochiozan,189,147.1
2008.11,M9w,Tokitenku,186,148.6
2008.11,M10e,Bushuyama,190,161
2008.11,M10w,Aran,185,139.2
2008.11,M11e,Kokkai,189,152.2
2008.11,M11w,Koryu,185.5,152.5
2008.11,M12e,Yoshikaze,178,128.8
2008.11,M12w,Kasuganishiki,187,147.3
2008.11,M13e,Masatsukasa,183,134
2008.11,M13w,Tamanoshima,187,156.6
2008.11,M14e,Takamisakari,188,138
2008.11,M14w,Kitataiki,184,141
2008.11,M15e,Kimurayama,181,156.6
2008.11,M15w,Homasho,186,143.3
2008.11,M16e,Tosanoumi,186,156.5
2008.11,M16w,Chiyohakuho,180.4,135
2008.11,J1e,Shimotori,188,150
2008.11,J1w,Toyozakura,182,134.7
2008.11,J2e,Iwakiyama,184,171
2008.11,J2w,Tosayutaka,178.5,132.5
2008.11,J3e,Hoshihikari,182,111
2008.11,J3w,Yamamotoyama,190,236.5
2008.11,J4e,Otsukasa,175,147.1
2008.11,J4w,Tamawashi,189,149
2008.11,J5e,Kaiho,177,122
2008.11,J5w,Wakatenro,183,159.6
2008.11,J6e,Kyokunankai,180,128.8
2008.11,J6w,Wakakirin,186.5,133
2008.11,J7e,Kasugao,184,148.5
2008.11,J7w,Wakakoyu,179,155
2008.11,J8e,Tamaasuka,184,135.7
2008.11,J8w,Yotsuguruma,184,151.4
2008.11,J9e,Sakaizawa,189,162.5
2008.11,J9w,Shotenro,188,140.2
2008.11,J10e,Kitazakura,189,168.7
2008.11,J10w,Ryuo,176,145.1
2008.11,J11e,Kotokasuga,182.5,141.4
2008.11,J11w,Shirononami,172,130.7
2008.11,J12e,Sagatsukasa,166.5,125
2008.11,J12w,Hakuba,186,117.7
2008.11,J13e,Ushiomaru,175.5,165
2008.11,J13w,Mokonami,187,144.1
2008.11,J14e,Ichihara,182,182.5
2008.11,J14w,Daishoumi,177.5,144.7
2008.11,Ms1e,Asofuji,178.5,122
2008.11,Ms1w,Fukuoka,190,134.5
2008.11,Ms2e,Katayama,178,141.5
2008.11,Ms2w,Kotoyutaka,183.5,141.3
2008.11,Ms3e,Dairaido,177,151.6
2008.11,Ms3w,Towanoyama,190,182.5
2008.11,Ms4e,Jumonji,183,154.8
2008.11,Ms4w,Sokokurai,185.5,117.2
2008.11,Ms5e,Hochiyama,188,137.1
2008.11,Ms5w,Kaonishiki,178.5,145.2
2008.11,Ms6e,Kirinowaka,177,120.6
2008.11,Ms6w,Mochimaru,188.5,148.7
2008.11,Ms7e,Tokusegawa,190,138
2008.11,Ms7w,Surugatsukasa,183,149.1
2008.11,Ms8e,Shiratsuka,191.5,190.3
2008.11,Ms8w,Shibuya,180,177.5
2008.11,Ms9e,Yoshiazuma,198,163
2008.11,Ms9w,Satoyama,177,119.8
2008.11,Ms10e,Kotokuni,186,153
2008.11,Ms10w,Kazafuzan,184,166.5
2008.11,Ms11e,Nakanishi,188,150.6
2008.11,Ms11w,Sadanofuji,188.5,157.9
2008.11,Ms12e,Hokutokuni,177.5,140
2008.11,Ms12w,Kasugakuni,182,155.7
2008.11,Ms13e,Daimanazuru,188,166.4
2008.11,Ms13w,Takanoyama,185,92.9
2008.11,Ms14e,Daitensho,184.5,128.3
2008.11,Ms14w,Yamasaki,183,142.2
2008.11,Ms15e,Kanbayashi,178,132.4
2008.11,Ms15w,Daiyubu,190,123.2
2008.11,Ms16e,Kyokushuho,191,119.8
2008.11,Ms16w,Matsutani,177,127
2008.11,Ms17e,Rikiryu,189.4,160
2008.11,Ms17w,Takahama,179.7,125.2
2008.11,Ms18e,Sasaki,188,118.8
2008.11,Ms18w,Hoshikaze,180,121
2008.11,Ms19e,Yanagawa,178.5,188.9
2008.11,Ms19w,Aoba,172,117.3
2008.11,Ms20e,Shironoryu,179,103.4
2008.11,Ms20w,Hakiai,174,127
2008.11,Ms21e,Sotairyu,179,113
