basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2015.05,1,J1e,Tokitenku,0-1 (10-5),0,yorikiri,1,M16w,Amuru,1-0 (9-6)
2015.05,1,M16e,Takanoiwa,0-1 (7-8),0,oshidashi,1,M15w,Kotoyuki,1-0 (8-7)
2015.05,1,M15e,Jokoryu,1-0 (5-10),1,sotogake,0,M14w,Kyokutenho,0-1 (8-7)
2015.05,1,M14e,Yoshikaze,1-0 (10-5),1,hikiotoshi,0,M13w,Chiyomaru,0-1 (3-12)
2015.05,1,M13e,Fujiazuma,0-1 (3-12),0,oshidashi,1,M12w,Toyohibiki,1-0 (6-9)
2015.05,1,M12e,Arawashi,0-1 (2-13),0,yorikiri,1,M11w,Kyokushuho,1-0 (9-6)
2015.05,1,M11e,Kaisei,1-0 (10-5),1,yorikiri,0,M10w,Okinoumi,0-1 (9-6)
2015.05,1,M10e,Ikioi,1-0 (10-5),1,tsukiotoshi,0,M9w,Endo,0-1 (6-9)
2015.05,1,M9e,Homarefuji,0-1 (7-8),0,hatakikomi,1,M8w,Takayasu,1-0 (10-5)
2015.05,1,M8e,Takekaze,1-0 (8-7),1,tsukiotoshi,0,M7w,Sadanofuji,0-1 (6-9)
2015.05,1,M7e,Sokokurai,0-1 (1-4-10),0,tsukidashi,1,M6w,Aoiyama,1-0 (9-6)
2015.05,1,M6e,Gagamaru,0-1 (7-8),0,oshidashi,1,M5w,Tamawashi,1-0 (6-9)
2015.05,1,M5e,Kitataiki,0-1 (4-11),0,yorikiri,1,M4w,Tokushoryu,1-0 (6-9)
2015.05,1,M4e,Chiyootori,0-1 (0-2-13),0,hatakikomi,1,M3w,Osunaarashi,1-0 (4-4-7)
2015.05,1,M2w,Aminishiki,0-1 (6-9),0,oshidashi,1,S1w,Myogiryu,1-0 (7-8)
2015.05,1,S1e,Terunofuji,0-1 (12-3),0,yorikiri,1,M3e,Sadanoumi,1-0 (8-7)
2015.05,1,M2e,Toyonoshima,0-1 (4-11),0,yorikiri,1,O2w,Goeido,1-0 (8-6-1)
2015.05,1,M1w,Tochinoshin,0-1 (9-6),0,shitatenage,1,O1w,Kotoshogiku,1-0 (6-9)
2015.05,1,O1e,Kisenosato,1-0 (11-4),1,yorikiri,0,M1e,Takarafuji,0-1 (9-6)
2015.05,1,K1e,Tochiozan,0-1 (8-7),0,uwatenage,1,Y1w,Harumafuji,1-0 (11-4)
2015.05,1,Y1e,Hakuho,0-1 (11-4),0,tsukiotoshi,1,K1w,Ichinojo,1-0 (8-7)
2015.05,2,M16e,Takanoiwa,1-1 (7-8),1,ashitori,0,J1w,Seiro,1-1 (8-7)
2015.05,2,M15e,Jokoryu,1-1 (5-10),0,oshitaoshi,1,M16w,Amuru,2-0 (9-6)
2015.05,2,M15w,Kotoyuki,2-0 (8-7),1,oshidashi,0,M14w,Kyokutenho,0-2 (8-7)
2015.05,2,M13e,Fujiazuma,0-2 (3-12),0,oshidashi,1,M14e,Yoshikaze,2-0 (10-5)
2015.05,2,M13w,Chiyomaru,0-2 (3-12),0,oshidashi,1,M12w,Toyohibiki,2-0 (6-9)
2015.05,2,M11e,Kaisei,2-0 (10-5),1,yorikiri,0,M12e,Arawashi,0-2 (2-13)
