basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
1999.01,1,M14e,Chiyotenzan,1-0 (10-5),1,tsukiotoshi,0,M15e,Dewaarashi,0-1 (4-8-3)
1999.01,1,M14w,Kinkaiyama,0-1 (4-11),0,oshidashi,1,M13w,Asanosho,1-0 (6-9)
1999.01,1,M13e,Asahiyutaka,0-1 (4-9),0,yorikiri,1,M12w,Hamanoshima,1-0 (9-6)
1999.01,1,M12e,Oginishiki,1-0 (8-7),1,yorikiri,0,M11w,Mitoizumi,0-1 (8-7)
1999.01,1,M11e,Wakanojo,0-1 (6-9),0,yorikiri,1,M10w,Ganyu,1-0 (8-7)
1999.01,1,M10e,Gojoro,1-0 (7-8),1,okuridashi,0,M9w,Kaiho,0-1 (6-9)
1999.01,1,M9e,Tochinonada,1-0 (8-7),1,yorikiri,0,M8w,Kyokushuzan,0-1 (9-6)
1999.01,1,M8e,Shikishima,0-1 (9-6),0,yorikiri,1,M7w,Higonoumi,1-0 (8-7)
1999.01,1,M6e,Tochinowaka,0-1 (6-9),0,sukuinage,1,M7e,Terao,1-0 (8-7)
1999.01,1,M5e,Tokitsuumi,1-0 (4-11),1,tsukiotoshi,0,M5w,Kotoryu,0-1 (5-10)
1999.01,1,M4e,Minatofuji,0-1 (5-10),0,uwatenage,1,M4w,Toki,1-0 (7-8)
1999.01,1,K1e,Dejima,1-0 (8-7),1,oshidashi,0,M3w,Aogiyama,0-1 (4-11)
1999.01,1,M3e,Akinoshima,0-1 (11-4),0,hatakikomi,1,S2w,Musoyama,1-0 (10-5)
1999.01,1,M2w,Tamakasuga,0-1 (5-10),0,yorikiri,1,S1w,Kotonowaka,1-0 (8-7)
1999.01,1,S1e,Chiyotaikai,1-0 (13-2),1,oshidashi,0,M2e,Takatoriki,0-1 (8-7)
1999.01,1,M1w,Tosanoumi,0-1 (7-8),0,shitatenage,1,O1w,Takanonami,1-0 (6-9)
1999.01,1,O1e,Musashimaru,0-1 (8-7),0,oshidashi,1,K1w,Tochiazuma,1-0 (9-6)
1999.01,1,M1e,Kaio,0-1 (9-6),0,hatakikomi,1,Y1w,Wakanohana,1-0 (13-2)
1999.01,1,Y1e,Takanohana,0-1 (8-7),0,shitatenage,1,K2e,Kotonishiki,1-0 (6-9)
1999.01,2,M14e,Chiyotenzan,2-0 (10-5),1,yorikiri,0,M14w,Kinkaiyama,0-2 (4-11)
1999.01,2,M13e,Asahiyutaka,0-2 (4-9),0,yorikiri,1,M15e,Dewaarashi,1-1 (4-8-3)
1999.01,2,M12e,Oginishiki,2-0 (8-7),1,yorikiri,0,M13w,Asanosho,1-1 (6-9)
1999.01,2,M11e,Wakanojo,0-2 (6-9),0,yorikiri,1,M12w,Hamanoshima,2-0 (9-6)
1999.01,2,M10e,Gojoro,1-1 (7-8),0,yorikiri,1,M11w,Mitoizumi,1-1 (8-7)
1999.01,2,M10w,Ganyu,2-0 (8-7),1,hatakikomi,0,M9w,Kaiho,0-2 (6-9)
1999.01,2,M8e,Shikishima,1-1 (9-6),1,yorikiri,0,M9e,Tochinonada,1-1 (8-7)
1999.01,2,M7e,Terao,1-1 (8-7),0,watashikomi,1,M8w,Kyokushuzan,1-1 (9-6)
1999.01,2,M6e,Tochinowaka,1-1 (6-9),1,uwatenage,0,M7w,Higonoumi,1-1 (8-7)
1999.01,2,M4e,Minatofuji,0-2 (5-10),0,hatakikomi,1,M5w,Kotoryu,1-1 (5-10)
1999.01,2,M5e,Tokitsuumi,1-1 (4-11),0,hikiotoshi,1,M4w,Toki,2-0 (7-8)
1999.01,2,K2e,Kotonishiki,1-1 (6-9),0,hikiotoshi,1,M3w,Aogiyama,1-1 (4-11)
1999.01,2,S1e,Chiyotaikai,2-0 (13-2),1,oshidashi,0,M2w,Tamakasuga,0-2 (5-10)
1999.01,2,M1e,Kaio,1-1 (9-6),1,oshidashi,0,S2w,Musoyama,1-1 (10-5)
1999.01,2,M3e,Akinoshima,1-1 (11-4),1,shitatedashinage,0,S1w,Kotonowaka,1-1 (8-7)
1999.01,2,O1e,Musashimaru,1-1 (8-7),1,oshidashi,0,M2e,Takatoriki,0-2 (8-7)
1999.01,2,K1w,Tochiazuma,2-0 (9-6),1,oshidashi,0,O1w,Takanonami,1-1 (6-9)
1999.01,2,Y1e,Takanohana,0-2 (8-7),0,oshidashi,1,M1w,Tosanoumi,1-1 (7-8)
1999.01,2,K1e,Dejima,1-1 (8-7),0,kekaeshi,1,Y1w,Wakanohana,2-0 (13-2)
1999.01,3,M13e,Asahiyutaka,0-3 (4-9),0,yoritaoshi,1,M14e,Chiyotenzan,3-0 (10-5)
1999.01,3,M15e,Dewaarashi,1-2 (4-8-3),0,hatakikomi,1,M11w,Mitoizumi,2-1 (8-7)
1999.01,3,M13w,Asanosho,2-1 (6-9),1,yorikiri,0,M10w,Ganyu,2-1 (8-7)
1999.01,3,M10e,Gojoro,1-2 (7-8),0,yorikiri,1,M12w,Hamanoshima,3-0 (9-6)
1999.01,3,M14w,Kinkaiyama,0-3 (4-11),0,yorikiri,1,M9w,Kaiho,1-2 (6-9)
1999.01,3,M9e,Tochinonada,1-2 (8-7),0,uwatenage,1,M12e,Oginishiki,3-0 (8-7)
1999.01,3,M11e,Wakanojo,1-2 (6-9),1,uwatenage,0,M8w,Kyokushuzan,1-2 (9-6)
1999.01,3,M8e,Shikishima,2-1 (9-6),1,yorikiri,0,M5w,Kotoryu,1-2 (5-10)
1999.01,3,M5e,Tokitsuumi,1-2 (4-11),0,okuridashi,1,M7w,Higonoumi,2-1 (8-7)
1999.01,3,M7e,Terao,2-1 (8-7),1,oshidashi,0,M4w,Toki,2-1 (7-8)
1999.01,3,M4e,Minatofuji,1-2 (5-10),1,yorikiri,0,M6e,Tochinowaka,1-2 (6-9)
1999.01,3,M3e,Akinoshima,2-1 (11-4),1,okuridashi,0,K1w,Tochiazuma,2-1 (9-6)
1999.01,3,M2e,Takatoriki,0-3 (8-7),0,oshidashi,1,S1w,Kotonowaka,2-1 (8-7)
1999.01,3,S1e,Chiyotaikai,3-0 (13-2),1,hatakikomi,0,K1e,Dejima,1-2 (8-7)
1999.01,3,K2e,Kotonishiki,1-2 (6-9),0,hikiotoshi,1,S2w,Musoyama,2-1 (10-5)
1999.01,3,M3w,Aogiyama,2-1 (4-11),1,oshidashi,0,O1w,Takanonami,1-2 (6-9)
1999.01,3,O1e,Musashimaru,2-1 (8-7),1,tsukidashi,0,M1w,Tosanoumi,1-2 (7-8)
1999.01,3,M2w,Tamakasuga,0-3 (5-10),0,yorikiri,1,Y1w,Wakanohana,3-0 (13-2)
1999.01,3,Y1e,Takanohana,1-2 (8-7),1,yorikiri,0,M1e,Kaio,1-2 (9-6)
1999.01,4,M12e,Oginishiki,4-0 (8-7),1,kirikaeshi,0,M13e,Asahiyutaka,0-4 (4-9)
1999.01,4,M13w,Asanosho,2-2 (6-9),0,sukuinage,1,M12w,Hamanoshima,4-0 (9-6)
1999.01,4,M14e,Chiyotenzan,4-0 (10-5),1,oshidashi,0,M11w,Mitoizumi,2-2 (8-7)
1999.01,4,M15e,Dewaarashi,1-3 (4-8-3),0,fusen,1,M10w,Ganyu,3-1 (8-7)
1999.01,4,M9e,Tochinonada,2-2 (8-7),1,yorikiri,0,M14w,Kinkaiyama,0-4 (4-11)
1999.01,4,M8e,Shikishima,3-1 (9-6),1,yorikiri,0,M11e,Wakanojo,1-3 (6-9)
1999.01,4,M10e,Gojoro,1-3 (7-8),0,yorikiri,1,M7w,Higonoumi,3-1 (8-7)
1999.01,4,M6e,Tochinowaka,2-2 (6-9),1,uwatedashinage,0,M9w,Kaiho,1-3 (6-9)
1999.01,4,M5e,Tokitsuumi,2-2 (4-11),1,tsukitaoshi,0,M8w,Kyokushuzan,1-3 (9-6)
1999.01,4,M4e,Minatofuji,1-3 (5-10),0,katasukashi,1,M7e,Terao,3-1 (8-7)
1999.01,4,M5w,Kotoryu,2-2 (5-10),1,tsukiotoshi,0,M3w,Aogiyama,2-2 (4-11)
1999.01,4,K1e,Dejima,2-2 (8-7),1,oshidashi,0,M4w,Toki,2-2 (7-8)
1999.01,4,M2e,Takatoriki,0-4 (8-7),0,oshidashi,1,S2w,Musoyama,3-1 (10-5)
1999.01,4,K1w,Tochiazuma,3-1 (9-6),1,utchari,0,S1w,Kotonowaka,2-2 (8-7)
