basho,rank,rikishi,height,weight
2016.09,Y1e,Harumafuji,185,135
2016.09,Y1w,Hakuho,193,150.7
2016.09,Y2e,Kakuryu,186,150
2016.09,O1e,Kisenosato,188,177
2016.09,O1w,Terunofuji,192,158.5
2016.09,O2e,Goeido,183,158.2
2016.09,O2w,Kotoshogiku,180,177
2016.09,S1e,Takayasu,187,163
2016.09,S1w,Takarafuji,186,161.1
2016.09,K1e,Kaisei,195,187.8
2016.09,K1w,Tochiozan,189,154
2016.09,M1e,Okinoumi,190,154
2016.09,M1w,Yoshikaze,175,140.3
2016.09,M2e,Tochinoshin,192,162
2016.09,M2w,Shodai,182,150
2016.09,M3e,Takanoiwa,181,145.5
2016.09,M3w,Ichinojo,190,183
2016.09,M4e,Myogiryu,187,148
2016.09,M4w,Chiyootori,179,178.5
2016.09,M5e,Aoiyama,192,192.6
2016.09,M5w,Mitakeumi,179,149
2016.09,M6e,Chiyonokuni,184,143.8
2016.09,M6w,Tamawashi,190,161
2016.09,M7e,Shohozan,177,134.5
2016.09,M7w,Ikioi,194,157
2016.09,M8e,Daishomaru,175,153
2016.09,M8w,Kotoyuki,176,162.4
2016.09,M9e,Nishikigi,184.5,149.5
2016.09,M9w,Takekaze,170,144
2016.09,M10e,Arawashi,184,122
2016.09,M10w,Sadanoumi,184,131.2
2016.09,M11e,Sokokurai,185,131.6
2016.09,M11w,Homarefuji,180,163.7
2016.09,M12e,Gagamaru,185,202.6
2016.09,M12w,Chiyoshoma,183,118.2
2016.09,M13e,Amakaze,184,200.5
2016.09,M13w,Toyohibiki,185,185.2
2016.09,M14e,Endo,183,145.6
2016.09,M14w,Kagayaki,193,144.3
2016.09,M15e,Tokushoryu,182,170.6
2016.09,M15w,Kyokushuho,191,149.6
2016.09,M16e,Daieisho,179,135.7
