basho,rank,rikishi,height,weight
1991.11,Y1e,Asahifuji,189,143
1991.11,Y1w,Hokutoumi,181,147
1991.11,O1e,Kirishima,187,127
1991.11,O1w,Konishiki,187,236
1991.11,S1e,Takatoriki,181,139
1991.11,S1w,Akinoshima,176,139
1991.11,K1e,Tochinowaka,190,156
1991.11,K1w,Kotonishiki,177,134
1991.11,K2eHD,Wakahanada,180,117
1991.11,M1e,Takahanada,186,133
1991.11,M1w,Akebono,204,194
1991.11,M2e,Mitoizumi,194,181
1991.11,M2w,Misugisato,185,149
1991.11,M3e,Kushimaumi,188,179
1991.11,M3w,Kirinishiki,188,171
1991.11,M4e,Terao,185,111
1991.11,M4w,Takamisugi,179,150
1991.11,M5e,Wakasegawa,189,148
1991.11,M5w,Kototsubaki,188,147
1991.11,M6e,Kasugafuji,180,140
1991.11,M6w,Kotofuji,192,150
1991.11,M7e,Daishoyama,182,178
1991.11,M7w,Sakahoko,182,124
1991.11,M8e,Kotonowaka,192,155
1991.11,M8w,Kyokudozan,182,102
1991.11,M9e,Mainoumi,174,93
1991.11,M9w,Kitakachidoki,184,139
1991.11,M10e,Kotogaume,180,173
1991.11,M10w,Ryogoku,185,170
1991.11,M11e,Tochitsukasa,180,157
1991.11,M11w,Daizen,189,145
1991.11,M12e,Musashimaru,190,161
1991.11,M12w,Daishoho,188,139
1991.11,M13e,Takanonami,195,151
1991.11,M13w,Ozutsu,183,137
1991.11,M14e,Owakamatsu,187,148
1991.11,M14w,Kotoinazuma,181,130
1991.11,M15e,Kiraiho,187,153
1991.11,M15w,Toyonoumi,190,190
1991.11,M16e,Tomoefuji,191,144
