basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2001.01,1,J1e,Tamanonada,1-0 (12-3),1,tsukiotoshi,0,M14w,Wakakosho,0-1 (6-9)
2001.01,1,M14e,Asanowaka,1-0 (8-7),1,hikiotoshi,0,M13w,Tamarikido,0-1 (6-9)
2001.01,1,M13e,Daishi,0-1 (7-8),0,yorikiri,1,M12w,Asashoryu,1-0 (9-6)
2001.01,1,M11e,Kinkaiyama,1-0 (6-9),1,yorikiri,0,M12e,Takatoriki,0-1 (8-7)
2001.01,1,M11w,Minatofuji,1-0 (6-9),1,oshitaoshi,0,M10w,Oginishiki,0-1 (0-2-13)
2001.01,1,M10e,Kyokushuzan,0-1 (8-7),0,shitatenage,1,M9w,Tokitsuumi,1-0 (8-7)
2001.01,1,M8e,Kyokutenho,1-0 (10-5),1,kotenage,0,M9e,Hamanoshima,0-1 (6-9)
2001.01,1,M7e,Higonoumi,0-1 (7-8),0,yorikiri,1,M7w,Kotoryu,1-0 (9-6)
2001.01,1,M6e,Tochinohana,0-1 (4-11),0,hatakikomi,1,M6w,Chiyotenzan,1-0 (8-7)
2001.01,1,M5e,Tosanoumi,0-1 (6-9),0,hatakikomi,1,M5w,Tamakasuga,1-0 (7-8)
2001.01,1,M4e,Akinoshima,1-0 (7-8),1,susoharai,0,M4w,Tochiazuma,0-1 (10-5)
2001.01,1,M3e,Wakanoyama,1-0 (9-6),1,oshidashi,0,M3w,Kaiho,0-1 (4-11)
2001.01,1,M2e,Kotonowaka,0-1 (5-10),0,uwatenage,1,O3w,Musoyama,1-0 (9-6)
2001.01,1,M1w,Tochisakae,0-1 (4-11),0,hikiotoshi,1,O2w,Miyabiyama,1-0 (8-7)
2001.01,1,O2e,Dejima,0-1 (7-8),0,oshidashi,1,M1e,Takanonami,1-0 (6-9)
2001.01,1,S1w,Kotomitsuki,0-1 (4-11),0,oshidashi,1,O1w,Chiyotaikai,1-0 (2-2-11)
