basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
1991.05,1,M15e,Takanofuji,0-1 (8-7),0,yorikiri,1,M15w,Ryogoku,1-0 (10-5)
1991.05,1,M14e,Enazakura,1-0 (10-5),1,yorikiri,0,M14w,Daijuyama,0-1 (3-12)
1991.05,1,M13e,Kitakachidoki,0-1 (5-10),0,yorikiri,1,M13w,Tomoefuji,1-0 (8-7)
1991.05,1,M12e,Ozutsu,1-0 (7-8),1,sukuinage,0,M12w,Mitoizumi,0-1 (8-7)
1991.05,1,M11e,Kotonowaka,0-1 (8-7),0,okuridashi,1,M11w,Kasugafuji,1-0 (9-6)
1991.05,1,M10e,Hananokuni,1-0 (8-7),1,katasukashi,0,M10w,Kyokudozan,0-1 (8-7)
1991.05,1,M9e,Kirinishiki,0-1 (8-7),0,tsukiotoshi,1,M9w,Kototsubaki,1-0 (7-8)
1991.05,1,M8e,Toyonoumi,0-1 (6-9),0,yorikiri,1,M8w,Wakasegawa,1-0 (8-7)
1991.05,1,M7e,Wakahanada,0-1 (8-7),0,yorikiri,1,M7w,Kotofuji,1-0 (5-10)
1991.05,1,M6w,Oginohana,1-0 (6-9),1,okuridashi,0,M4w,Itai,0-1 (4-11)
1991.05,1,M4e,Daishoyama,1-0 (8-7),1,hikiotoshi,0,M3w,Jingaku,0-1 (2-13)
1991.05,1,M3e,Kotogaume,0-1 (8-7),0,hatakikomi,1,M2w,Misugisato,1-0 (6-9)
1991.05,1,M1e,Akinoshima,1-0 (9-6),1,uwatenage,0,M2e,Tochinowaka,0-1 (7-8)
1991.05,1,M5w,Sakahoko,0-1 (6-9),0,oshitaoshi,1,S1w,Akebono,1-0 (7-8)
1991.05,1,S1e,Kotonishiki,1-0 (8-7),1,yorikiri,0,M5e,Takamisugi,0-1 (5-10)
1991.05,1,M6e,Kushimaumi,0-1 (6-9),0,yorikiri,1,O1w,Kirishima,1-0 (11-4)
1991.05,1,O1e,Konishiki,1-0 (14-1),1,tsukiotoshi,0,K1w,Takatoriki,0-1 (9-6)
1991.05,1,Y2eHD,Asahifuji,1-0 (14-1),1,hikiotoshi,0,K1e,Terao,0-1 (5-10)
1991.05,1,M1w,Takahanada,1-0 (9-6),1,yorikiri,0,Y2wHD,Chiyonofuji,0-1 (1-3-11)
1991.05,2,M15w,Ryogoku,1-1 (10-5),0,yorikiri,1,M12w,Mitoizumi,1-1 (8-7)
1991.05,2,M10e,Hananokuni,2-0 (8-7),1,yorikiri,0,M15e,Takanofuji,0-2 (8-7)
1991.05,2,M12e,Ozutsu,2-0 (7-8),1,okuridashi,0,M10w,Kyokudozan,0-2 (8-7)
1991.05,2,M9e,Kirinishiki,1-1 (8-7),1,oshidashi,0,M14w,Daijuyama,0-2 (3-12)
1991.05,2,M14e,Enazakura,2-0 (10-5),1,hatakikomi,0,M8w,Wakasegawa,1-1 (8-7)
1991.05,2,M7e,Wakahanada,1-1 (8-7),1,oshidashi,0,M13w,Tomoefuji,1-1 (8-7)
1991.05,2,M13e,Kitakachidoki,0-2 (5-10),0,yorikiri,1,M7w,Kotofuji,2-0 (5-10)
1991.05,2,M6e,Kushimaumi,0-2 (6-9),0,oshidashi,1,M11w,Kasugafuji,2-0 (9-6)
1991.05,2,M11e,Kotonowaka,1-1 (8-7),1,sukuinage,0,M6w,Oginohana,1-1 (6-9)
1991.05,2,M5e,Takamisugi,1-1 (5-10),1,okuridashi,0,M9w,Kototsubaki,1-1 (7-8)
1991.05,2,M3e,Kotogaume,1-1 (8-7),1,oshidashi,0,M8e,Toyonoumi,0-2 (6-9)
1991.05,2,M5w,Sakahoko,1-1 (6-9),1,yoritaoshi,0,M2w,Misugisato,1-1 (6-9)
1991.05,2,K1e,Terao,0-2 (5-10),0,oshidashi,1,M2e,Tochinowaka,1-1 (7-8)
1991.05,2,M1e,Akinoshima,1-1 (9-6),0,yoritaoshi,1,S1w,Akebono,2-0 (7-8)
1991.05,2,O1e,Konishiki,2-0 (14-1),1,yorikiri,0,M3w,Jingaku,0-2 (2-13)
1991.05,2,K1w,Takatoriki,1-1 (9-6),1,nichonage,0,O1w,Kirishima,1-1 (11-4)
1991.05,2,Y2eHD,Asahifuji,2-0 (14-1),1,yorikiri,0,M4e,Daishoyama,1-1 (8-7)
