basho,rank,rikishi,height,weight
2017.03,Y1e,Hakuho,193,150.7
2017.03,Y1w,Kakuryu,186,150
2017.03,Y2e,Harumafuji,185,135
2017.03,Y2w,Kisenosato,188,177
2017.03,O1e,Goeido,183,158.2
2017.03,O1w,Terunofuji,192,158.5
2017.03,S1e,Tamawashi,190,161
2017.03,S1w,Takayasu,187,163
2017.03,S2e,Kotoshogiku,180,177
2017.03,K1e,Mitakeumi,179,149
2017.03,K1w,Shodai,182,150
2017.03,M1e,Takekaze,170,144
2017.03,M1w,Ikioi,194,157
2017.03,M2e,Sokokurai,185,131.6
2017.03,M2w,Takanoiwa,181,145.5
2017.03,M3e,Shohozan,177,134.5
2017.03,M3w,Takarafuji,186,161.1
2017.03,M4e,Yoshikaze,175,140.3
2017.03,M4w,Arawashi,184,122
2017.03,M5e,Endo,183,145.6
2017.03,M5w,Hokutofuji,182,158
2017.03,M6e,Chiyonokuni,184,143.8
2017.03,M6w,Aoiyama,192,192.6
2017.03,M7e,Ichinojo,190,183
2017.03,M7w,Chiyoshoma,183,118.2
2017.03,M8e,Kaisei,195,187.8
2017.03,M8w,Okinoumi,190,154
2017.03,M9e,Kagayaki,193,144.3
2017.03,M9w,Kotoyuki,176,162.4
2017.03,M10e,Tochinoshin,192,162
2017.03,M10w,Tochiozan,189,154
2017.03,M11e,Daieisho,179,135.7
2017.03,M11w,Ishiura,173,103.6
2017.03,M12e,Sadanoumi,184,131.2
2017.03,M12w,Ura,172,113
2017.03,M13e,Takakeisho,173,149
2017.03,M13w,Daishomaru,175,153
2017.03,M14e,Myogiryu,187,148
2017.03,M14w,Kyokushuho,191,149.6
2017.03,M15e,Chiyoo,178,149.6
2017.03,M15w,Tokushoryu,182,170.6
2017.03,M16e,Nishikigi,184.5,149.5
2017.03,J1e,Chiyootori,179,178.5
2017.03,J1w,Chiyotairyu,182,166.8
2017.03,J2e,Gagamaru,185,202.6
2017.03,J2w,Onosho,176,148.5
2017.03,J3e,Hidenoumi,184,156.2
2017.03,J3w,Toyohibiki,185,185.2
2017.03,J4e,Chiyomaru,178,176.3
2017.03,J4w,Oyanagi,185,171
2017.03,J5e,Kotoeko,175.5,111.6
2017.03,J5w,Homarefuji,180,163.7
2017.03,J6e,Yamaguchi,183,155.6
2017.03,J6w,Kyokutaisei,184,128.2
2017.03,J7e,Osunaarashi,189,146
2017.03,J7w,Amakaze,184,200.5
2017.03,J8e,Tsurugisho,184,154
2017.03,J8w,Ryuden,192,145
2017.03,J9e,Daiamami,185,167
2017.03,J9w,Azumaryu,192,147.2
2017.03,J10e,Satoyama,177,121
2017.03,J10w,Seiro,185,131.2
2017.03,J11e,Kitataiki,185,149
2017.03,J11w,Kitaharima,182,121
2017.03,J12e,Asanoyama,189,158
2017.03,J12w,Aminishiki,186,152
2017.03,J13e,Asahisho,174,144.6
2017.03,J13w,Rikishin,188,132
2017.03,J14e,Terutsuyoshi,169,112
2017.03,J14w,Fujiazuma,182,183.6
2017.03,Ms1e,Amuru,192,126
2017.03,Ms1w,Takagenji,186,126.2
2017.03,Ms2e,Toyonoshima,169,149.4
2017.03,Ms2w,Kizenryu,194,149.3
2017.03,Ms3e,Iwasaki,174,110
2017.03,Ms3w,Meisei,180,120
2017.03,Ms4e,Akiseyama,183,172.6
2017.03,Ms4w,Asabenkei,190,174.8
2017.03,Ms5e,Wakanoshima,181,140
2017.03,Ms5w,Goshi,185,127.2
2017.03,Ms6e,Kairyu,178,133.5
