basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2001.11,1,J1e,Takatoriki,0-1 (7-8),0,oshidashi,1,M15w,Buyuzan,1-0 (10-5)
2001.11,1,M15e,Tamarikido,0-1 (8-7),0,kirikaeshi,1,M14w,Aminishiki,1-0 (8-7)
2001.11,1,M14e,Kobo,1-0 (8-7),1,yorikiri,0,M13w,Higonoumi,0-1 (4-8-3)
2001.11,1,M13e,Aogiyama,0-1 (4-11),0,oshidashi,1,M12w,Tochisakae,1-0 (7-8)
2001.11,1,M12e,Hamanishiki,0-1 (7-8),0,okuridashi,1,M11w,Kitazakura,1-0 (5-10)
2001.11,1,M11e,Otsukasa,0-1 (8-7),0,yorikiri,1,M10w,Hayateumi,1-0 (8-2-5)
2001.11,1,M10e,Takanonami,1-0 (9-6),1,yorikiri,0,M9w,Wakanoyama,0-1 (6-9)
2001.11,1,M9e,Kyokushuzan,1-0 (10-5),1,shitatenage,0,M8w,Chiyotenzan,0-1 (8-7)
2001.11,1,M8e,Oginishiki,0-1 (5-10),0,okuridashi,1,M7w,Toki,1-0 (8-7)
2001.11,1,M7e,Tamakasuga,0-1 (6-9),0,oshidashi,1,M6w,Akinoshima,1-0 (8-7)
2001.11,1,M6e,Daizen,0-1 (6-9),0,yoritaoshi,1,M5w,Kyokutenho,1-0 (8-7)
2001.11,1,M5e,Kotoryu,1-0 (1-1-13),1,katasukashi,0,M4w,Tochinonada,0-1 (7-8)
2001.11,1,M4e,Kotonowaka,0-1 (7-8),0,kirikaeshi,1,M3w,Dejima,1-0 (7-8)
2001.11,1,K1e,Asashoryu,1-0 (10-5),1,oshitaoshi,0,M3e,Tokitsuumi,0-1 (2-13)
2001.11,1,M2w,Tosanoumi,1-0 (5-10),1,yorikiri,0,S1w,Kotomitsuki,0-1 (9-6)
2001.11,1,S1e,Tochiazuma,1-0 (12-3),1,uwatenage,0,M2e,Takanowaka,0-1 (6-9)
2001.11,1,O2e,Kaio,0-1 (10-5),0,yorikiri,1,M1w,Tamanoshima,1-0 (7-8)
2001.11,1,O1e,Musoyama,1-0 (9-6),1,hatakikomi,0,M1e,Wakanosato,0-1 (10-5)
2001.11,1,Y1e,Musashimaru,1-0 (13-2),1,hatakikomi,0,K1w,Kaiho,0-1 (5-10)
2001.11,2,M15e,Tamarikido,0-2 (8-7),0,tsukiotoshi,1,J1w,Asanowaka,2-0 (9-6)
2001.11,2,M13e,Aogiyama,1-1 (4-11),1,okuridashi,0,M14e,Kobo,1-1 (8-7)
2001.11,2,M15w,Buyuzan,1-1 (10-5),0,hatakikomi,1,M13w,Higonoumi,1-1 (4-8-3)
2001.11,2,M12e,Hamanishiki,0-2 (7-8),0,yorikiri,1,M14w,Aminishiki,2-0 (8-7)
2001.11,2,M12w,Tochisakae,1-1 (7-8),0,yorikiri,1,M10w,Hayateumi,2-0 (8-2-5)
2001.11,2,M9e,Kyokushuzan,2-0 (10-5),1,uwatehineri,0,M11w,Kitazakura,1-1 (5-10)
