basho,rank,rikishi,height,weight
1995.05,Y1e,Akebono,203,224
1995.05,Y1w,Takanohana,185,147
1995.05,O1e,Musashimaru,190,198
1995.05,O1w,Wakanohana,180,133
1995.05,O2e,Takanonami,197,165
1995.05,S1e,Akinoshima,174,154
1995.05,S1w,Kaio,185,163
1995.05,K1e,Takatoriki,180,145
1995.05,K1w,Kenko,191,140
1995.05,M1e,Terao,186,114
1995.05,M1w,Higonoumi,183,143
1995.05,M2e,Naminohana,179,135
1995.05,M2w,Takamisugi,179,145
1995.05,M3e,Daishoho,187,144
1995.05,M3w,Kotonishiki,177,144
1995.05,M4e,Wakashoyo,180,169
1995.05,M4w,Musoyama,184,163
1995.05,M5e,Kotonowaka,190,170
1995.05,M5w,Asanowaka,175,149
1995.05,M6e,Misugisato,185,159
1995.05,M6w,Minatofuji,186,161
1995.05,M7e,Mitoizumi,194,192
1995.05,M7w,Konishiki,183,273
1995.05,M8e,Kirishima,186,124
1995.05,M8w,Tochinowaka,189,160
1995.05,M9e,Kiraiho,189,159
1995.05,M9w,Kotobeppu,178,193
1995.05,M10e,Asahiyutaka,191,143
1995.05,M10w,Hamanoshima,179,131
1995.05,M11e,Asanosho,184,142
1995.05,M11w,Kyokudozan,182,105
1995.05,M12e,Kitakachidoki,183,145
1995.05,M12w,Mainoumi,170,98
1995.05,M13e,Tokitsunada,187,173
1995.05,M13w,Tomonohana,175,114
1995.05,M14e,Kotoinazuma,181,137
1995.05,M14w,Kasugafuji,177,137
1995.05,M15e,Daishi,181,171
1995.05,M15w,Oginishiki,184,140
1995.05,M16e,Shikishima,183,176
