basho,rank,rikishi,height,weight
2000.03,Y1e,Takanohana,186.5,152.5
2000.03,Y1w,Akebono,203.5,230.5
2000.03,Y2e,Musashimaru,192,230.5
2000.03,Y2w,Wakanohana,178.5,124.5
2000.03,O1e,Dejima,180.6,160
2000.03,O1w,Chiyotaikai,181.5,158.5
2000.03,O2e,Takanonami,196.6,169.5
2000.03,S1e,Musoyama,184,172
2000.03,S1w,Miyabiyama,188,175.5
2000.03,S2w,Tochiazuma,180.5,147
2000.03,K1e,Tosanoumi,186,160
2000.03,K1w,Kaio,185,175
2000.03,M1e,Wakanoyama,177,163.5
2000.03,M1w,Kyokushuzan,182.5,133.5
2000.03,M2e,Tamakasuga,183,148
2000.03,M2w,Kyokutenho,191,140
2000.03,M3e,Kotoryu,183,149
2000.03,M3w,Kotonowaka,190.5,173.5
2000.03,M4e,Minatofuji,186,165.5
2000.03,M4w,Takanowaka,190,137.5
2000.03,M5e,Akinoshima,175,156.5
2000.03,M5w,Chiyotenzan,183.5,150
2000.03,M6e,Tochinonada,187.5,163.5
2000.03,M6w,Shikishima,184.5,185.5
2000.03,M7e,Tokitsuumi,184,131.5
2000.03,M7w,Toki,189.5,173.5
2000.03,M8e,Asanowaka,176,142.3
2000.03,M8w,Kotonishiki,175.5,128
2000.03,M9e,Hamanoshima,179,118
2000.03,M9w,Oginishiki,186,139
2000.03,M10e,Asanosho,185.5,144.5
2000.03,M10w,Hayateumi,183.5,129
2000.03,M11e,Oikari,177,128.5
2000.03,M11w,Higonoumi,183,148
2000.03,M12e,Terao,185,111
2000.03,M12w,Daizen,188.3,160
2000.03,M13e,Aogiyama,181.5,151
2000.03,M13w,Kaiho,178,125
2000.03,M14e,Takatoriki,180.5,147.5
2000.03,M14w,Wakanosato,184.5,151.5
