basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2005.07,1,Jk47e,Fukaya,1-0 (4-3),1,isamiashi,0,Jk47w,Sugawara,0-1 (2-5)
2005.07,1,Jk45e,Daishonami,1-0 (4-3),1,shitatenage,0,Jk44w,Kurihara,0-1 (4-3)
2005.07,1,Jk43e,Kawamoto,0-1 (5-2),0,sukuinage,1,Jk42w,Kawataka,1-0 (5-2)
2005.07,1,Jk41e,Tomonofuji,0-1 (4-3),0,oshidashi,1,Jk40w,Kotokuroda,1-0 (4-3)
2005.07,1,Jk39e,Tamabuzan,1-0 (3-4),1,oshidashi,0,Jk38w,Ishii,0-1 (1-6)
2005.07,1,Jk37e,Tanakayama,0-1 (2-5),0,yorikiri,1,Jk36w,Yudai,1-0 (4-3)
2005.07,1,Jk35e,Inoue,0-1 (2-5),0,yorikiri,1,Jk34w,Hidehikari,1-0 (5-2)
2005.07,1,Jk33e,Iitani,1-0 (5-2),1,yorikiri,0,Jk32w,Osato,0-1 (3-4)
2005.07,1,Jk30e,Akifuji,0-1 (4-3),0,yoritaoshi,1,Jk29w,Terunosato,1-0 (6-1)
2005.07,1,Jk28e,Nara,0-1 (3-4),0,uwatenage,1,Jk27w,Asanozawa,1-0 (4-3)
2005.07,1,Jk26e,Hirai,0-1 (2-5),0,yorikiri,1,Jk25w,Morikawa,1-0 (2-5)
2005.07,1,Jk23w,Kuramochi,0-1 (3-4),0,hatakikomi,1,Jk22w,Matsushima,1-0 (5-2)
2005.07,1,Jk21e,Yoshida,1-0 (6-1),1,kainahineri,0,Jk20w,Kairyu,0-1 (4-3)
2005.07,1,Jk19e,Nakamoto,0-1 (2-5),0,yorikiri,1,Jk17w,Nakata,1-0 (3-4)
2005.07,1,Jk14e,Asakanda,0-1 (4-3),0,oshitaoshi,1,Jk14w,Takita,1-0 (4-3)
2005.07,1,Jk12e,Maeamami,1-0 (3-4),1,fusen,0,Jk12w,Omori,0-1 (0-1-6)
2005.07,1,Jk10e,Anjoryu,0-1 (0-7),0,yoritaoshi,1,Jk10w,Kasachikara,1-0 (4-3)
