basho,rank,rikishi,height,weight
2012.09,Y1e,Hakuho,191,153.5
2012.09,O1e,Harumafuji,186,128
2012.09,O1w,Kisenosato,188,171
2012.09,O2e,Kotoshogiku,179,174
2012.09,O2w,Baruto,197,184
2012.09,O3e,Kotooshu,203,154.5
2012.09,O3w,Kakuryu,187,143.5
2012.09,S1e,Myogiryu,187,140.2
2012.09,S1w,Goeido,183,141
2012.09,K1e,Aoiyama,190,173.5
2012.09,K1w,Tochinoshin,192,158
2012.09,M1e,Shohozan,177,133.6
2012.09,M1w,Kaisei,194,179.5
2012.09,M2e,Aran,187,154.4
2012.09,M2w,Gagamaru,185,198.7
2012.09,M3e,Homasho,186,151
2012.09,M3w,Toyonoshima,169,146.2
2012.09,M4e,Aminishiki,185,149
2012.09,M4w,Toyohibiki,185,176.6
2012.09,M5e,Tochiozan,189,148.5
2012.09,M5w,Takekaze,171.5,146.7
2012.09,M6e,Tokitenku,186,145
2012.09,M6w,Masunoyama,180,179.5
2012.09,M7e,Miyabiyama,187,186
2012.09,M7w,Shotenro,189,156.6
2012.09,M8e,Daido,187,160.5
2012.09,M8w,Okinoumi,192,155.5
2012.09,M9e,Kitataiki,185,149.5
2012.09,M9w,Takayasu,185,155
2012.09,M10e,Yoshikaze,176,136
2012.09,M10w,Wakakoyu,180,167
2012.09,M11e,Kyokutenho,191,158.4
2012.09,M11w,Wakanosato,184,162
2012.09,M12e,Chiyotairyu,180,160
2012.09,M12w,Takarafuji,185,159
2012.09,M13e,Asasekiryu,184,149.6
2012.09,M13w,Tenkaiho,183,191
2012.09,M14e,Asahisho,172,128
2012.09,M14w,Kimurayama,182,174
2012.09,M15e,Fujiazuma,181,182.5
2012.09,M15w,Sadanofuji,189,170.5
2012.09,M16e,Takanoyama,185,98
2012.09,J1e,Ikioi,192,139
2012.09,J1w,Yoshiazuma,197,166
2012.09,J2e,Tamawashi,187,159.3
2012.09,J2w,Tochinowaka,196,179.5
2012.09,J3e,Chiyonokuni,183,138.5
2012.09,J3w,Jokoryu,185,144.5
2012.09,J4e,Tamaasuka,185,148.5
2012.09,J4w,Tokushoryu,181,157
2012.09,J5e,Chiyootori,177,160.5
2012.09,J5w,Sotairyu,179,117
2012.09,J6e,Oiwato,178,136
2012.09,J6w,Kotoyuki,175,149.5
2012.09,J7e,Sagatsukasa,166,134
2012.09,J7w,Nionoumi,173,144
2012.09,J8e,Takamisakari,188,141
2012.09,J8w,Kitaharima,182,120
2012.09,J9e,Hochiyama,189,151.5
2012.09,J9w,Daikiho,182,152
2012.09,J10e,Takanoiwa,181,140
2012.09,J10w,Kotoyutaka,184.5,142
2012.09,J11e,Keitenkai,175.5,113
2012.09,J11w,Tanzo,188,136.5
2012.09,J12e,Kokkai,190,143
2012.09,J12w,Tokushinho,192.5,197
2012.09,J13e,Satoyama,176,119
2012.09,J13w,Kimikaze,183,131
2012.09,J14e,Arawashi,184,119.5
2012.09,J14w,Oniarashi,184,122.5
2012.09,Ms1e,Kyokushuho,190,144
