basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2004.05,1,Jk46e,Hirai,1-0 (2-5),1,hikiotoshi,0,Jk45w,Ishii,0-1 (0-7)
2004.05,1,Jk44e,Maeryuo,0-1 (3-4),0,okuridashi,1,Jk43w,Uchiumi,1-0 (4-3)
2004.05,1,Jk42e,Fujioka,0-1 (1-6),0,hikiotoshi,1,Jk41w,Aononami,1-0 (4-3)
2004.05,1,Jk40e,Kobayashi,0-1 (3-4),0,oshidashi,1,Jk39w,Yoshino,1-0 (4-3)
2004.05,1,Jk38e,Kurosawa,1-0 (5-2),1,oshidashi,0,Jk37w,Yamada,0-1 (4-3)
2004.05,1,Jk36e,Kayaki,0-1 (3-4),0,yoritaoshi,1,Jk35w,Chiba,1-0 (4-3)
2004.05,1,Jk34e,Daishonami,1-0 (4-3),1,yorikiri,0,Jk33w,Kikuchi,0-1 (2-6)
2004.05,1,Jk32e,Nakamuragawa,1-0 (5-2),1,oshidashi,0,Jk31w,Tsujino,0-1 (2-5)
2004.05,1,Jk30e,Shimamoto,0-1 (4-3),0,yorikiri,1,Jk29w,Asahisakari,1-0 (7-0)
2004.05,1,Jk28e,Fukuda,0-1 (4-3),0,isamiashi,1,Jk27w,Kaneko,1-0 (1-6)
2004.05,1,Jk26e,Miyakofuji,0-1 (3-4),0,sukuinage,1,Jk25w,Osaka,1-0 (3-4)
2004.05,1,Jk23e,Ogurayama,0-1 (5-2),0,uwatedashinage,1,Jk23w,Nakaita,1-0 (6-1)
2004.05,1,Jk21e,Yasuzato,0-1 (4-3),0,oshidashi,1,Jk21w,Saito,1-0 (4-3)
2004.05,1,Jk19e,Yamashita,0-1 (2-5),0,yorikiri,1,Jk19w,Kabasawa,1-0 (4-3)
2004.05,1,Jk17e,Shosho,1-0 (5-2),1,yorikiri,0,Jk17w,Yokota,0-1 (3-4)
2004.05,1,Jk15e,Takahashimoto,0-1 (4-3),0,yorikiri,1,Jk15w,Isobe,1-0 (5-2)
