basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
1998.01,1,M16e,Gojoro,1-0 (9-6),1,tsukiotoshi,0,J1e,Tokitsunada,0-1 (6-9)
1998.01,1,M15e,Asanosho,0-1 (9-6),0,uwatenage,1,M15w,Kyokutenho,1-0 (9-6)
1998.01,1,M14e,Yamato,1-0 (7-8),1,hatakikomi,0,M14w,Mainoumi,0-1 (9-6)
1998.01,1,M13e,Wakanojo,1-0 (9-6),1,okuridashi,0,M13w,Terao,0-1 (9-6)
1998.01,1,M12w,Tochinowaka,1-0 (9-6),1,uwatenage,0,M11w,Kotoinazuma,0-1 (8-7)
1998.01,1,M11e,Kotoryu,0-1 (9-6),0,oshidashi,1,M12e,Asanowaka,1-0 (7-8)
1998.01,1,M10e,Mitoizumi,1-0 (6-9),1,yoritaoshi,0,M10w,Kitakachidoki,0-1 (7-8)
1998.01,1,M9e,Ganyu,0-1 (8-7),0,yorikiri,1,M9w,Akinoshu,1-0 (5-10)
1998.01,1,M8e,Chiyotaikai,0-1 (9-6),0,hatakikomi,1,M8w,Higonoumi,1-0 (5-10)
1998.01,1,M7e,Shikishima,1-0 (8-7),1,yorikiri,0,M7w,Hamanoshima,0-1 (5-10)
1998.01,1,M6e,Minatofuji,0-1 (6-9),0,oshidashi,1,M5w,Aogiyama,1-0 (6-9)
1998.01,1,M4e,Kyokushuzan,0-1 (5-10),0,uwatenage,1,M3w,Kotonowaka,1-0 (7-8)
1998.01,1,M3e,Tosanoumi,0-1 (5-10),0,hatakikomi,1,M2w,Tochinonada,1-0 (7-8)
1998.01,1,M1w,Akinoshima,0-1 (6-9),0,oshidashi,1,S1w,Tochiazuma,1-0 (11-4)
1998.01,1,S1e,Musoyama,1-0 (10-5),1,oshidashi,0,M1e,Takatoriki,0-1 (5-10)
1998.01,1,O2e,Wakanohana,0-1 (10-5),0,oshidashi,1,M6w,Tamakasuga,1-0 (6-9)
1998.01,1,M5e,Oginishiki,0-1 (5-10),0,oshidashi,1,O1w,Musashimaru,1-0 (12-3)
