basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
2009.03,1,M16e,Toyozakura,0-1 (5-10),0,hikiotoshi,1,M15w,Kimurayama,1-0 (7-8)
2009.03,1,M15e,Tosanoumi,0-1 (4-11),0,yorikiri,1,M14w,Shimotori,1-0 (8-7)
2009.03,1,M14e,Tamawashi,0-1 (9-6),0,oshidashi,1,M13w,Yamamotoyama,1-0 (8-7)
2009.03,1,M13e,Chiyohakuho,1-0 (10-5),1,oshidashi,0,M12w,Shotenro,0-1 (7-8)
2009.03,1,M12e,Kakizoe,0-1 (7-8),0,oshidashi,1,M11w,Aran,1-0 (10-5)
2009.03,1,M11e,Asasekiryu,0-1 (9-6),0,yorikiri,1,M10w,Tochinoshin,1-0 (6-9)
2009.03,1,M10e,Iwakiyama,0-1 (8-7),0,yorikiri,1,M9w,Futeno,1-0 (7-8)
2009.03,1,M9e,Dejima,0-1 (6-9),0,kakenage,1,M8w,Kokkai,1-0 (5-10)
2009.03,1,M8e,Tochinonada,0-1 (8-7),0,yorikiri,1,M7w,Takamisakari,1-0 (6-9)
2009.03,1,M7e,Homasho,1-0 (11-4),1,oshidashi,0,M6w,Toyonoshima,0-1 (8-7)
2009.03,1,M6e,Tamanoshima,0-1 (8-7),0,yorikiri,1,M5w,Aminishiki,1-0 (9-6)
2009.03,1,M5e,Wakanosato,0-1 (6-6-3),0,hatakikomi,1,M4w,Yoshikaze,1-0 (7-8)
2009.03,1,M4e,Takekaze,1-0 (8-7),1,hatakikomi,0,M3w,Tokitenku,0-1 (5-10)
2009.03,1,S1e,Baruto,1-0 (8-7),1,oshidashi,0,M3e,Miyabiyama,0-1 (4-11)
2009.03,1,O3e,Kotomitsuki,1-0 (8-7),1,yorikiri,0,M2w,Tochiozan,0-1 (8-7)
2009.03,1,M2e,Kotoshogiku,1-0 (6-9),1,yoritaoshi,0,O2w,Harumafuji,0-1 (10-5)
2009.03,1,O2e,Kaio,0-1 (8-7),0,oshidashi,1,M1w,Kakuryu,1-0 (10-5)
2009.03,1,M1e,Hokutoriki,0-1 (2-13),0,oshidashi,1,O1w,Chiyotaikai,1-0 (2-13)
2009.03,1,O1e,Kotooshu,1-0 (10-5),1,yorikiri,0,S1w,Kisenosato,0-1 (5-10)
2009.03,1,K1e,Goeido,0-1 (9-6),0,yorikiri,1,Y1w,Hakuho,1-0 (15-0)
2009.03,1,Y1e,Asashoryu,1-0 (11-4),1,yorikiri,0,K1w,Kyokutenho,0-1 (6-9)
2009.03,2,M15e,Tosanoumi,0-2 (4-11),0,hikiotoshi,1,M16e,Toyozakura,1-1 (5-10)
2009.03,2,M14e,Tamawashi,0-2 (9-6),0,tsukiotoshi,1,M15w,Kimurayama,2-0 (7-8)
2009.03,2,M14w,Shimotori,1-1 (8-7),0,kimedashi,1,M13w,Yamamotoyama,2-0 (8-7)
2009.03,2,M12e,Kakizoe,1-1 (7-8),1,hikiotoshi,0,M13e,Chiyohakuho,1-1 (10-5)
2009.03,2,M12w,Shotenro,0-2 (7-8),0,hatakikomi,1,M11w,Aran,2-0 (10-5)
2009.03,2,M10e,Iwakiyama,0-2 (8-7),0,uwatenage,1,M11e,Asasekiryu,1-1 (9-6)
2009.03,2,M10w,Tochinoshin,2-0 (6-9),1,yorikiri,0,M9w,Futeno,1-1 (7-8)
2009.03,2,M8e,Tochinonada,1-1 (8-7),1,yorikiri,0,M9e,Dejima,0-2 (6-9)
2009.03,2,M8w,Kokkai,2-0 (5-10),1,oshidashi,0,M7w,Takamisakari,1-1 (6-9)
2009.03,2,M6e,Tamanoshima,0-2 (8-7),0,yorikiri,1,M7e,Homasho,2-0 (11-4)
2009.03,2,M6w,Toyonoshima,1-1 (8-7),1,oshidashi,0,M5w,Aminishiki,1-1 (9-6)
2009.03,2,M4e,Takekaze,1-1 (8-7),0,yorikiri,1,M5e,Wakanosato,1-1 (6-6-3)
2009.03,2,M4w,Yoshikaze,1-1 (7-8),0,yorikiri,1,M3w,Tokitenku,1-1 (5-10)
2009.03,2,S1e,Baruto,2-0 (8-7),1,hatakikomi,0,M2e,Kotoshogiku,1-1 (6-9)
2009.03,2,O1e,Kotooshu,1-1 (10-5),0,yorikiri,1,M2w,Tochiozan,1-1 (8-7)
2009.03,2,O3e,Kotomitsuki,1-1 (8-7),0,hikiotoshi,1,M3e,Miyabiyama,1-1 (4-11)
2009.03,2,S1w,Kisenosato,0-2 (5-10),0,hikiotoshi,1,O2w,Harumafuji,1-1 (10-5)
2009.03,2,O2e,Kaio,1-1 (8-7),1,kotenage,0,K1e,Goeido,0-2 (9-6)
2009.03,2,K1w,Kyokutenho,1-1 (6-9),1,yorikiri,0,O1w,Chiyotaikai,1-1 (2-13)
2009.03,2,Y1e,Asashoryu,2-0 (11-4),1,oshidashi,0,M1w,Kakuryu,1-1 (10-5)
2009.03,2,M1e,Hokutoriki,0-2 (2-13),0,yorikiri,1,Y1w,Hakuho,2-0 (15-0)
2009.03,3,M15e,Tosanoumi,0-3 (4-11),0,hikiotoshi,1,M15w,Kimurayama,3-0 (7-8)
2009.03,3,M14e,Tamawashi,1-2 (9-6),1,oshidashi,0,M16e,Toyozakura,1-2 (5-10)
2009.03,3,M14w,Shimotori,2-1 (8-7),1,yorikiri,0,M12w,Shotenro,0-3 (7-8)
2009.03,3,M12e,Kakizoe,1-2 (7-8),0,oshidashi,1,M13w,Yamamotoyama,3-0 (8-7)
2009.03,3,M13e,Chiyohakuho,2-1 (10-5),1,hikiotoshi,0,M11w,Aran,2-1 (10-5)
2009.03,3,M10e,Iwakiyama,1-2 (8-7),1,shitatenage,0,M10w,Tochinoshin,2-1 (6-9)
2009.03,3,M11e,Asasekiryu,2-1 (9-6),1,oshidashi,0,M9w,Futeno,1-2 (7-8)
2009.03,3,M8e,Tochinonada,1-2 (8-7),0,uwatedashinage,1,M8w,Kokkai,3-0 (5-10)
2009.03,3,M9e,Dejima,0-3 (6-9),0,okuridashi,1,M7w,Takamisakari,2-1 (6-9)
2009.03,3,M5e,Wakanosato,2-1 (6-6-3),1,yorikiri,0,M7e,Homasho,2-1 (11-4)
2009.03,3,M6w,Toyonoshima,2-1 (8-7),1,hatakikomi,0,M4w,Yoshikaze,1-2 (7-8)
2009.03,3,M4e,Takekaze,1-2 (8-7),0,oshidashi,1,M6e,Tamanoshima,1-2 (8-7)
2009.03,3,M5w,Aminishiki,1-2 (9-6),0,shitatehineri,1,M3w,Tokitenku,2-1 (5-10)
2009.03,3,S1e,Baruto,2-1 (8-7),0,utchari,1,K1e,Goeido,1-2 (9-6)
2009.03,3,M2w,Tochiozan,2-1 (8-7),1,oshidashi,0,O1w,Chiyotaikai,1-2 (2-13)
2009.03,3,O1e,Kotooshu,2-1 (10-5),1,hatakikomi,0,M3e,Miyabiyama,1-2 (4-11)
2009.03,3,O3e,Kotomitsuki,1-2 (8-7),0,hatakikomi,1,S1w,Kisenosato,1-2 (5-10)
2009.03,3,K1w,Kyokutenho,1-2 (6-9),0,shitatenage,1,O2w,Harumafuji,2-1 (10-5)
2009.03,3,O2e,Kaio,2-1 (8-7),1,yorikiri,0,M2e,Kotoshogiku,1-2 (6-9)
2009.03,3,M1w,Kakuryu,1-2 (10-5),0,sukuinage,1,Y1w,Hakuho,3-0 (15-0)
2009.03,3,Y1e,Asashoryu,3-0 (11-4),1,uwatenage,0,M1e,Hokutoriki,0-3 (2-13)
2009.03,4,M14e,Tamawashi,2-2 (9-6),1,oshidashi,0,M14w,Shimotori,2-2 (8-7)
2009.03,4,M13e,Chiyohakuho,3-1 (10-5),1,oshitaoshi,0,M15e,Tosanoumi,0-4 (4-11)
2009.03,4,M16e,Toyozakura,1-3 (5-10),0,oshidashi,1,M13w,Yamamotoyama,4-0 (8-7)
2009.03,4,M15w,Kimurayama,3-1 (7-8),0,oshidashi,1,M12w,Shotenro,1-3 (7-8)
2009.03,4,M11e,Asasekiryu,3-1 (9-6),1,kotenage,0,M12e,Kakizoe,1-3 (7-8)
2009.03,4,M11w,Aran,3-1 (10-5),1,hatakikomi,0,M10w,Tochinoshin,2-2 (6-9)
2009.03,4,M9e,Dejima,0-4 (6-9),0,yorikiri,1,M10e,Iwakiyama,2-2 (8-7)
2009.03,4,M9w,Futeno,2-2 (7-8),1,yorikiri,0,M8w,Kokkai,3-1 (5-10)
2009.03,4,M7e,Homasho,2-2 (11-4),0,okuridashi,1,M8e,Tochinonada,2-2 (8-7)
2009.03,4,M6e,Tamanoshima,1-3 (8-7),0,yorikiri,1,M7w,Takamisakari,3-1 (6-9)
2009.03,4,M4e,Takekaze,2-2 (8-7),1,oshitaoshi,0,M6w,Toyonoshima,2-2 (8-7)
2009.03,4,M5w,Aminishiki,2-2 (9-6),1,oshidashi,0,M4w,Yoshikaze,1-3 (7-8)
2009.03,4,M5e,Wakanosato,3-1 (6-6-3),1,yorikiri,0,M3w,Tokitenku,2-2 (5-10)
2009.03,4,M3e,Miyabiyama,1-3 (4-11),0,oshidashi,1,S1w,Kisenosato,2-2 (5-10)
2009.03,4,O2e,Kaio,3-1 (8-7),1,kotenage,0,S1e,Baruto,2-2 (8-7)
2009.03,4,K1e,Goeido,2-2 (9-6),1,yorikiri,0,O1w,Chiyotaikai,1-3 (2-13)
2009.03,4,O1e,Kotooshu,2-2 (10-5),0,tsukiotoshi,1,K1w,Kyokutenho,2-2 (6-9)
2009.03,4,O3e,Kotomitsuki,2-2 (8-7),1,uchimuso,0,M1w,Kakuryu,1-3 (10-5)
2009.03,4,M1e,Hokutoriki,0-4 (2-13),0,tsukiotoshi,1,O2w,Harumafuji,3-1 (10-5)
2009.03,4,Y1e,Asashoryu,4-0 (11-4),1,yoritaoshi,0,M2w,Tochiozan,2-2 (8-7)
2009.03,4,M2e,Kotoshogiku,1-3 (6-9),0,yoritaoshi,1,Y1w,Hakuho,4-0 (15-0)
2009.03,5,M15e,Tosanoumi,1-4 (4-11),1,oshitaoshi,0,M13w,Yamamotoyama,4-1 (8-7)
2009.03,5,M13e,Chiyohakuho,3-2 (10-5),0,hikiotoshi,1,M16e,Toyozakura,2-3 (5-10)
2009.03,5,M15w,Kimurayama,4-1 (7-8),1,tsukiotoshi,0,M11w,Aran,3-2 (10-5)
2009.03,5,M11e,Asasekiryu,4-1 (9-6),1,okuridashi,0,M14w,Shimotori,2-3 (8-7)
2009.03,5,M14e,Tamawashi,3-2 (9-6),1,oshidashi,0,M10w,Tochinoshin,2-3 (6-9)
2009.03,5,M12w,Shotenro,1-4 (7-8),0,tsukihiza,1,M8w,Kokkai,4-1 (5-10)
2009.03,5,M7e,Homasho,2-3 (11-4),0,hatakikomi,1,M12e,Kakizoe,2-3 (7-8)
2009.03,5,M10e,Iwakiyama,3-2 (8-7),1,yorikiri,0,M6w,Toyonoshima,2-3 (8-7)
2009.03,5,M9w,Futeno,2-3 (7-8),0,yorikiri,1,M5w,Aminishiki,3-2 (9-6)
2009.03,5,M5e,Wakanosato,3-2 (6-6-3),0,yorikiri,1,M9e,Dejima,1-4 (6-9)
2009.03,5,M8e,Tochinonada,2-3 (8-7),0,oshidashi,1,M4w,Yoshikaze,2-3 (7-8)
2009.03,5,M4e,Takekaze,3-2 (8-7),1,oshidashi,0,M7w,Takamisakari,3-2 (6-9)
2009.03,5,M6e,Tamanoshima,2-3 (8-7),1,yoritaoshi,0,M3w,Tokitenku,2-3 (5-10)
2009.03,5,M2e,Kotoshogiku,1-4 (6-9),0,tsukiotoshi,1,S1w,Kisenosato,3-2 (5-10)
2009.03,5,S1e,Baruto,2-3 (8-7),0,shitatenage,1,O2w,Harumafuji,4-1 (10-5)
2009.03,5,O2e,Kaio,4-1 (8-7),1,yorikiri,0,M3e,Miyabiyama,1-4 (4-11)
2009.03,5,M1w,Kakuryu,2-3 (10-5),1,hatakikomi,0,O1w,Chiyotaikai,1-4 (2-13)
2009.03,5,O1e,Kotooshu,3-2 (10-5),1,uwatenage,0,M1e,Hokutoriki,0-5 (2-13)
2009.03,5,O3e,Kotomitsuki,3-2 (8-7),1,yorikiri,0,K1w,Kyokutenho,2-3 (6-9)
2009.03,5,M2w,Tochiozan,2-3 (8-7),0,yorikiri,1,Y1w,Hakuho,5-0 (15-0)
2009.03,5,Y1e,Asashoryu,5-0 (11-4),1,hatakikomi,0,K1e,Goeido,2-3 (9-6)
2009.03,6,M16e,Toyozakura,2-4 (5-10),0,yorikiri,1,M14w,Shimotori,3-3 (8-7)
2009.03,6,M13e,Chiyohakuho,3-3 (10-5),0,yorikiri,1,M14e,Tamawashi,4-2 (9-6)
2009.03,6,M15w,Kimurayama,4-2 (7-8),0,yorikiri,1,M13w,Yamamotoyama,5-1 (8-7)
2009.03,6,M12e,Kakizoe,2-4 (7-8),0,tsukiotoshi,1,M15e,Tosanoumi,2-4 (4-11)
2009.03,6,M11e,Asasekiryu,5-1 (9-6),1,yorikiri,0,M12w,Shotenro,1-5 (7-8)
2009.03,6,M10e,Iwakiyama,4-2 (8-7),1,yorikiri,0,M11w,Aran,3-3 (10-5)
2009.03,6,M9e,Dejima,2-4 (6-9),1,oshitaoshi,0,M10w,Tochinoshin,2-4 (6-9)
2009.03,6,M8e,Tochinonada,2-4 (8-7),0,yorikiri,1,M9w,Futeno,3-3 (7-8)
2009.03,6,M7e,Homasho,3-3 (11-4),1,yoritaoshi,0,M8w,Kokkai,4-2 (5-10)
2009.03,6,M7w,Takamisakari,3-3 (6-9),0,shitatenage,1,M6w,Toyonoshima,3-3 (8-7)
2009.03,6,M5e,Wakanosato,3-3 (6-6-3),0,yorikiri,1,M5w,Aminishiki,4-2 (9-6)
2009.03,6,M6e,Tamanoshima,3-3 (8-7),1,okuridashi,0,M4w,Yoshikaze,2-4 (7-8)
2009.03,6,M3e,Miyabiyama,1-5 (4-11),0,hikiotoshi,1,M4e,Takekaze,4-2 (8-7)
2009.03,6,K1e,Goeido,3-3 (9-6),1,yorikiri,0,S1w,Kisenosato,3-3 (5-10)
2009.03,6,O3e,Kotomitsuki,4-2 (8-7),1,yoritaoshi,0,M3w,Tokitenku,2-4 (5-10)
